,reads,umis
PZ-MB-TChIC-K562-H3K4me3-CT_221,23402,17559
PZ-MB-TChIC-K562-H3K4me3-CT_218,44942,33607
PZ-MB-TChIC-K562-H3K4me3-CT_86,16039,11999
PZ-MB-TChIC-K562-H3K4me3-CT_238,2335,1990
PZ-MB-TChIC-K562-H3K4me3-CT_211,8553,6808
PZ-MB-TChIC-K562-H3K4me3-CT_186,17102,13049
PZ-MB-TChIC-K562-H3K4me3-CT_60,25681,19319
PZ-MB-TChIC-K562-H3K4me3-CT_212,10796,8452
PZ-MB-TChIC-K562-H3K4me3-CT_52,18467,14170
PZ-MB-TChIC-K562-H3K4me3-CT_285,22372,16614
PZ-MB-TChIC-K562-H3K4me3-CT_308,16889,12676
PZ-MB-TChIC-K562-H3K4me3-CT_92,13950,10791
PZ-MB-TChIC-K562-H3K4me3-CT_353,15480,11802
PZ-MB-TChIC-K562-H3K4me3-CT_89,8312,6600
PZ-MB-TChIC-K562-H3K4me3-CT_34,9937,7733
PZ-MB-TChIC-K562-H3K4me3-CT_62,17380,13034
PZ-MB-TChIC-K562-H3K4me3-CT_163,12854,10263
PZ-MB-TChIC-K562-H3K4me3-CT_206,15840,12058
PZ-MB-TChIC-K562-H3K4me3-CT_181,15844,12152
PZ-MB-TChIC-K562-H3K4me3-CT_58,8670,6913
PZ-MB-TChIC-K562-H3K4me3-CT_336,18214,13703
PZ-MB-TChIC-K562-H3K4me3-CT_112,46060,34143
PZ-MB-TChIC-K562-H3K4me3-CT_318,21976,16392
PZ-MB-TChIC-K562-H3K4me3-CT_384,7235,5928
PZ-MB-TChIC-K562-H3K4me3-CT_277,51401,37691
PZ-MB-TChIC-K562-H3K4me3-CT_107,12372,9646
PZ-MB-TChIC-K562-H3K4me3-CT_310,15895,12390
PZ-MB-TChIC-K562-H3K4me3-CT_156,22545,17288
PZ-MB-TChIC-K562-H3K4me3-CT_160,19206,14567
PZ-MB-TChIC-K562-H3K4me3-CT_109,6299,4842
PZ-MB-TChIC-K562-H3K4me3-CT_146,15229,11767
PZ-MB-TChIC-K562-H3K4me3-CT_116,7777,6248
PZ-MB-TChIC-K562-H3K4me3-CT_38,6653,5340
PZ-MB-TChIC-K562-H3K4me3-CT_332,12247,9525
PZ-MB-TChIC-K562-H3K4me3-CT_340,21652,16092
PZ-MB-TChIC-K562-H3K4me3-CT_33,14832,11712
PZ-MB-TChIC-K562-H3K4me3-CT_294,14711,11388
PZ-MB-TChIC-K562-H3K4me3-CT_28,51508,38426
PZ-MB-TChIC-K562-H3K4me3-CT_348,50577,37958
PZ-MB-TChIC-K562-H3K4me3-CT_78,11223,8724
PZ-MB-TChIC-K562-H3K4me3-CT_55,7466,6000
PZ-MB-TChIC-K562-H3K4me3-CT_192,10847,8493
PZ-MB-TChIC-K562-H3K4me3-CT_301,20860,16193
PZ-MB-TChIC-K562-H3K4me3-CT_85,10114,7956
PZ-MB-TChIC-K562-H3K4me3-CT_281,69441,50661
PZ-MB-TChIC-K562-H3K4me3-CT_204,27495,20880
PZ-MB-TChIC-K562-H3K4me3-CT_193,70270,50490
PZ-MB-TChIC-K562-H3K4me3-CT_95,29072,21364
PZ-MB-TChIC-K562-H3K4me3-CT_61,9978,7849
PZ-MB-TChIC-K562-H3K4me3-CT_304,47281,34802
PZ-MB-TChIC-K562-H3K4me3-CT_123,10099,8046
PZ-MB-TChIC-K562-H3K4me3-CT_11,18386,14197
PZ-MB-TChIC-K562-H3K4me3-CT_283,11815,9476
PZ-MB-TChIC-K562-H3K4me3-CT_343,3569,2799
PZ-MB-TChIC-K562-H3K4me3-CT_22,19075,15032
PZ-MB-TChIC-K562-H3K4me3-CT_200,13103,10285
PZ-MB-TChIC-K562-H3K4me3-CT_74,38086,27811
PZ-MB-TChIC-K562-H3K4me3-CT_256,46769,35038
PZ-MB-TChIC-K562-H3K4me3-CT_258,12042,9447
PZ-MB-TChIC-K562-H3K4me3-CT_147,8717,6986
PZ-MB-TChIC-K562-H3K4me3-CT_117,11677,8990
PZ-MB-TChIC-K562-H3K4me3-CT_23,35353,26560
PZ-MB-TChIC-K562-H3K4me3-CT_295,10280,8244
PZ-MB-TChIC-K562-H3K4me3-CT_153,24798,18426
PZ-MB-TChIC-K562-H3K4me3-CT_148,20545,15626
PZ-MB-TChIC-K562-H3K4me3-CT_237,29126,21895
PZ-MB-TChIC-K562-H3K4me3-CT_244,24011,18350
PZ-MB-TChIC-K562-H3K4me3-CT_43,40045,29491
PZ-MB-TChIC-K562-H3K4me3-CT_42,11389,8959
