,reads,umis
PZ-TChIC-K562-SC-H3K27me3-CT_129,10575,9233
PZ-TChIC-K562-SC-H3K27me3-CT_12,19163,16342
PZ-TChIC-K562-SC-H3K27me3-CT_360,20619,17594
PZ-TChIC-K562-SC-H3K27me3-CT_320,53529,44348
PZ-TChIC-K562-SC-H3K27me3-CT_353,7936,7122
PZ-TChIC-K562-SC-H3K27me3-CT_56,11401,9936
PZ-TChIC-K562-SC-H3K27me3-CT_2,3858,3566
PZ-TChIC-K562-SC-H3K27me3-CT_322,27448,23790
PZ-TChIC-K562-SC-H3K27me3-CT_131,9970,8778
PZ-TChIC-K562-SC-H3K27me3-CT_5,3365,3011
PZ-TChIC-K562-SC-H3K27me3-CT_19,9925,8613
PZ-TChIC-K562-SC-H3K27me3-CT_355,15066,12957
PZ-TChIC-K562-SC-H3K27me3-CT_289,13674,11617
PZ-TChIC-K562-SC-H3K27me3-CT_107,6381,5755
PZ-TChIC-K562-SC-H3K27me3-CT_367,12260,10685
PZ-TChIC-K562-SC-H3K27me3-CT_277,10309,9073
PZ-TChIC-K562-SC-H3K27me3-CT_225,10927,9530
PZ-TChIC-K562-SC-H3K27me3-CT_221,11378,9688
PZ-TChIC-K562-SC-H3K27me3-CT_279,13569,11868
PZ-TChIC-K562-SC-H3K27me3-CT_252,16575,14200
PZ-TChIC-K562-SC-H3K27me3-CT_211,8716,7901
PZ-TChIC-K562-SC-H3K27me3-CT_39,11071,9751
PZ-TChIC-K562-SC-H3K27me3-CT_45,10253,9050
PZ-TChIC-K562-SC-H3K27me3-CT_282,12281,10676
PZ-TChIC-K562-SC-H3K27me3-CT_185,18464,16127
PZ-TChIC-K562-SC-H3K27me3-CT_350,11030,9713
PZ-TChIC-K562-SC-H3K27me3-CT_135,17095,14736
PZ-TChIC-K562-SC-H3K27me3-CT_58,10173,8978
PZ-TChIC-K562-SC-H3K27me3-CT_284,12450,10755
PZ-TChIC-K562-SC-H3K27me3-CT_352,17352,14938
PZ-TChIC-K562-SC-H3K27me3-CT_160,14380,12325
PZ-TChIC-K562-SC-H3K27me3-CT_143,49347,41819
PZ-TChIC-K562-SC-H3K27me3-CT_187,9780,8580
PZ-TChIC-K562-SC-H3K27me3-CT_99,7515,6832
PZ-TChIC-K562-SC-H3K27me3-CT_296,8159,7020
PZ-TChIC-K562-SC-H3K27me3-CT_345,11536,9996
PZ-TChIC-K562-SC-H3K27me3-CT_140,12856,11125
PZ-TChIC-K562-SC-H3K27me3-CT_194,15585,13434
PZ-TChIC-K562-SC-H3K27me3-CT_307,5695,5000
PZ-TChIC-K562-SC-H3K27me3-CT_311,11747,10314
PZ-TChIC-K562-SC-H3K27me3-CT_76,9426,8264
PZ-TChIC-K562-SC-H3K27me3-CT_332,13459,11709
PZ-TChIC-K562-SC-H3K27me3-CT_11,12261,10757
PZ-TChIC-K562-SC-H3K27me3-CT_16,9348,8191
PZ-TChIC-K562-SC-H3K27me3-CT_370,7812,6905
PZ-TChIC-K562-SC-H3K27me3-CT_261,11144,9650
PZ-TChIC-K562-SC-H3K27me3-CT_117,10441,9153
PZ-TChIC-K562-SC-H3K27me3-CT_57,25320,21852
PZ-TChIC-K562-SC-H3K27me3-CT_286,14293,12256
PZ-TChIC-K562-SC-H3K27me3-CT_133,16410,14066
PZ-TChIC-K562-SC-H3K27me3-CT_201,4937,4588
PZ-TChIC-K562-SC-H3K27me3-CT_263,11054,9846
PZ-TChIC-K562-SC-H3K27me3-CT_237,61534,49858
PZ-TChIC-K562-SC-H3K27me3-CT_8,12641,11504
PZ-TChIC-K562-SC-H3K27me3-CT_343,5408,4892
PZ-TChIC-K562-SC-H3K27me3-CT_152,8498,7412
PZ-TChIC-K562-SC-H3K27me3-CT_148,30530,25641
PZ-TChIC-K562-SC-H3K27me3-CT_359,41979,34943
PZ-TChIC-K562-SC-H3K27me3-CT_271,12586,11059
PZ-TChIC-K562-SC-H3K27me3-CT_254,14130,12131
PZ-TChIC-K562-SC-H3K27me3-CT_203,19226,16363
PZ-TChIC-K562-SC-H3K27me3-CT_339,46703,38954
PZ-TChIC-K562-SC-H3K27me3-CT_125,18428,16036
PZ-TChIC-K562-SC-H3K27me3-CT_30,11065,9788
PZ-TChIC-K562-SC-H3K27me3-CT_287,12632,10895
PZ-TChIC-K562-SC-H3K27me3-CT_169,7381,6679
PZ-TChIC-K562-SC-H3K27me3-CT_362,13927,12163
PZ-TChIC-K562-SC-H3K27me3-CT_190,9307,8223
PZ-TChIC-K562-SC-H3K27me3-CT_132,10121,8806
PZ-TChIC-K562-SC-H3K27me3-CT_28,90334,75267
PZ-TChIC-K562-SC-H3K27me3-CT_384,9165,8206
PZ-TChIC-K562-SC-H3K27me3-CT_278,7469,6717
PZ-TChIC-K562-SC-H3K27me3-CT_46,9196,8345
PZ-TChIC-K562-SC-H3K27me3-CT_314,24397,20733
PZ-TChIC-K562-SC-H3K27me3-CT_109,10321,9147
PZ-TChIC-K562-SC-H3K27me3-CT_192,8963,7934
PZ-TChIC-K562-SC-H3K27me3-CT_217,14947,12797
PZ-TChIC-K562-SC-H3K27me3-CT_285,30063,25301
PZ-TChIC-K562-SC-H3K27me3-CT_331,16044,13788
PZ-TChIC-K562-SC-H3K27me3-CT_356,11449,10039
PZ-TChIC-K562-SC-H3K27me3-CT_138,6506,5799
PZ-TChIC-K562-SC-H3K27me3-CT_206,9567,8423
PZ-TChIC-K562-SC-H3K27me3-CT_365,25788,22093
PZ-TChIC-K562-SC-H3K27me3-CT_176,16338,14243
