,reads,umis
PZ-MB-TChIC-K562-H3K4me3-C_178,51015,51015
PZ-MB-TChIC-K562-H3K4me3-C_192,134284,134284
PZ-MB-TChIC-K562-H3K4me3-C_218,125821,125821
PZ-MB-TChIC-K562-H3K4me3-C_335,54637,54637
PZ-MB-TChIC-K562-H3K4me3-CT_85,6002,6002
PZ-MB-TChIC-K562-H3K4me3-CT_343,2173,2173
PZ-MB-TChIC-K562-H3K4me3-C_198,4697,4697
PZ-MB-TChIC-K562-H3K4me3-C_381,24114,24114
PZ-MB-TChIC-K562-H3K4me3-C_43,96502,96502
PZ-TChIC-K562-SC-H3K27me3-C_367,19801,19801
PZ-MB-TChIC-K562-H3K4me3-C_173,165801,165801
PZ-TChIC-K562-SC-H3K27me3-CT_364,27477,27477
PZ-MB-TChIC-K562-H3K4me3-C_212,89425,89425
PZ-MB-TChIC-K562-H3K4me3-C_305,81431,81431
PZ-TChIC-K562-SC-H3K27me3-C_254,22579,22579
PZ-TChIC-K562-SC-H3K27me3-CT_372,46421,46421
PZ-TChIC-K562-SC-H3K27me3-C_348,18074,18074
PZ-TChIC-K562-SC-H3K27me3-CT_265,40451,40451
PZ-TChIC-K562-SC-H3K27me3-CT_329,26729,26729
PZ-TChIC-K562-SC-H3K27me3-CT_266,33776,33776
PZ-TChIC-K562-SC-H3K27me3-C_366,24442,24442
PZ-MB-TChIC-K562-H3K4me3-C_165,92107,92107
PZ-MB-TChIC-K562-H3K4me3-C_214,99735,99735
PZ-MB-TChIC-K562-H3K4me3-CT_192,15322,15322
PZ-MB-TChIC-K562-H3K4me3-C_134,83062,83062
PZ-MB-TChIC-K562-H3K4me3-C_22,38573,38573
PZ-MB-TChIC-K562-H3K4me3-C_127,130498,130498
PZ-MB-TChIC-K562-H3K4me3-C_328,62412,62412
PZ-MB-TChIC-K562-H3K4me3-C_193,44549,44549
PZ-MB-TChIC-K562-H3K4me3-C_315,203001,203001
PZ-MB-TChIC-K562-H3K4me3-C_45,32321,32321
PZ-MB-TChIC-K562-H3K4me3-C_166,90669,90669
PZ-MB-TChIC-K562-H3K4me3-C_280,106441,106441
PZ-MB-TChIC-K562-H3K4me3-C_299,31601,31601
PZ-MB-TChIC-K562-H3K4me3-C_109,32778,32778
PZ-MB-TChIC-K562-H3K4me3-C_301,23051,23051
PZ-MB-TChIC-K562-H3K4me3-C_338,6830,6830
PZ-MB-TChIC-K562-H3K4me3-C_131,182307,182307
PZ-MB-TChIC-K562-H3K4me3-C_111,119277,119277
PZ-MB-TChIC-K562-H3K4me3-CT_264,4801,4801
PZ-MB-TChIC-K562-H3K4me3-C_250,33037,33037
PZ-MB-TChIC-K562-H3K4me3-C_153,21106,21106
PZ-MB-TChIC-K562-H3K4me3-C_30,26354,26354
PZ-MB-TChIC-K562-H3K4me3-C_358,35735,35735
PZ-MB-TChIC-K562-H3K4me3-C_39,113519,113519
PZ-MB-TChIC-K562-H3K4me3-C_372,36266,36266
PZ-MB-TChIC-K562-H3K4me3-C_371,40997,40997
PZ-MB-TChIC-K562-H3K4me3-C_222,182882,182882
PZ-MB-TChIC-K562-H3K4me3-C_260,46145,46145
PZ-MB-TChIC-K562-H3K4me3-C_274,34974,34974
PZ-MB-TChIC-K562-H3K4me3-CT_45,2991,2991
PZ-MB-TChIC-K562-H3K4me3-C_66,59037,59037
PZ-MB-TChIC-K562-H3K4me3-CT_310,2966,2966
PZ-MB-TChIC-K562-H3K4me3-C_384,64080,64080
PZ-MB-TChIC-K562-H3K4me3-C_252,53995,53995
PZ-MB-TChIC-K562-H3K4me3-C_216,71731,71731
PZ-MB-TChIC-K562-H3K4me3-C_333,57481,57481
PZ-MB-TChIC-K562-H3K4me3-C_225,158473,158473
PZ-MB-TChIC-K562-H3K4me3-C_151,19342,19342
PZ-MB-TChIC-K562-H3K4me3-C_3,22823,22823
PZ-MB-TChIC-K562-H3K4me3-C_158,41991,41991
PZ-MB-TChIC-K562-H3K4me3-C_334,47241,47241
PZ-MB-TChIC-K562-H3K4me3-C_114,120301,120301
PZ-MB-TChIC-K562-H3K4me3-C_130,80093,80093
PZ-MB-TChIC-K562-H3K4me3-CT_250,4387,4387
PZ-MB-TChIC-K562-H3K4me3-C_137,102820,102820
PZ-MB-TChIC-K562-H3K4me3-C_15,44541,44541
PZ-MB-TChIC-K562-H3K4me3-C_162,66382,66382
PZ-MB-TChIC-K562-H3K4me3-C_228,99132,99132
PZ-TChIC-K562-SC-H3K27me3-C_256,23867,23867
PZ-MB-TChIC-K562-H3K4me3-C_102,31542,31542
PZ-MB-TChIC-K562-H3K4me3-C_379,50205,50205
PZ-MB-TChIC-K562-H3K4me3-C_140,95274,95274
PZ-MB-TChIC-K562-H3K4me3-C_361,30218,30218
PZ-MB-TChIC-K562-H3K4me3-C_183,146393,146393
PZ-MB-TChIC-K562-H3K4me3-C_205,25168,25168
PZ-MB-TChIC-K562-H3K4me3-CT_7,1767,1767
PZ-MB-TChIC-K562-H3K4me3-C_144,44311,44311
PZ-MB-TChIC-K562-H3K4me3-CT_131,14070,14070
PZ-MB-TChIC-K562-H3K4me3-C_237,95769,95769
PZ-MB-TChIC-K562-H3K4me3-C_70,40131,40131
PZ-TChIC-K562-SC-H3K27me3-C_283,19250,19250
PZ-MB-TChIC-K562-H3K4me3-C_347,33619,33619
PZ-MB-TChIC-K562-H3K4me3-C_65,75011,75011
PZ-MB-TChIC-K562-H3K4me3-C_344,17363,17363
PZ-MB-TChIC-K562-H3K4me3-C_46,38442,38442
PZ-MB-TChIC-K562-H3K4me3-C_148,50286,50286
PZ-MB-TChIC-K562-H3K4me3-C_11,28283,28283
PZ-MB-TChIC-K562-H3K4me3-C_259,104335,104335
PZ-MB-TChIC-K562-H3K4me3-C_179,100551,100551
PZ-MB-TChIC-K562-H3K4me3-CT_255,12601,12601
PZ-MB-TChIC-K562-H3K4me3-C_357,16552,16552
PZ-MB-TChIC-K562-H3K4me3-CT_63,4446,4446
PZ-MB-TChIC-K562-H3K4me3-C_319,135734,135734
PZ-MB-TChIC-K562-H3K4me3-C_291,37787,37787
PZ-MB-TChIC-K562-H3K4me3-C_201,42612,42612
PZ-MB-TChIC-K562-H3K4me3-C_23,71717,71717
PZ-MB-TChIC-K562-H3K4me3-C_150,41370,41370
