	status
PZ-TChIC-K562-SC-H3K27me3-CT_364	good
PZ-TChIC-K562-SC-H3K27me3-CT_372	good
PZ-TChIC-K562-SC-H3K27me3-CT_215	good
PZ-TChIC-K562-SC-H3K27me3-CT_178	good
PZ-TChIC-K562-SC-H3K27me3-CT_313	bad
PZ-TChIC-K562-SC-H3K27me3-CT_85	good
PZ-TChIC-K562-SC-H3K27me3-CT_304	good
PZ-TChIC-K562-SC-H3K27me3-CT_325	good
PZ-TChIC-K562-SC-H3K27me3-CT_11	good
PZ-TChIC-K562-SC-H3K27me3-CT_260	good
PZ-TChIC-K562-SC-H3K27me3-CT_247	good
PZ-TChIC-K562-SC-H3K27me3-CT_44	good
PZ-TChIC-K562-SC-H3K27me3-CT_314	good
PZ-TChIC-K562-SC-H3K27me3-CT_34	good
PZ-TChIC-K562-SC-H3K27me3-CT_120	good
PZ-TChIC-K562-SC-H3K27me3-CT_261	good
PZ-TChIC-K562-SC-H3K27me3-CT_205	good
PZ-TChIC-K562-SC-H3K27me3-CT_311	good
PZ-TChIC-K562-SC-H3K27me3-CT_172	good
PZ-TChIC-K562-SC-H3K27me3-CT_20	good
PZ-TChIC-K562-SC-H3K27me3-CT_326	good
PZ-TChIC-K562-SC-H3K27me3-CT_65	good
PZ-TChIC-K562-SC-H3K27me3-CT_384	good
PZ-TChIC-K562-SC-H3K27me3-CT_131	good
PZ-TChIC-K562-SC-H3K27me3-CT_370	good
PZ-TChIC-K562-SC-H3K27me3-CT_137	good
PZ-TChIC-K562-SC-H3K27me3-CT_55	good
PZ-TChIC-K562-SC-H3K27me3-CT_209	good
PZ-TChIC-K562-SC-H3K27me3-CT_254	good
PZ-TChIC-K562-SC-H3K27me3-CT_151	good
PZ-TChIC-K562-SC-H3K27me3-CT_51	good
PZ-TChIC-K562-SC-H3K27me3-CT_265	good
PZ-TChIC-K562-SC-H3K27me3-CT_203	good
PZ-TChIC-K562-SC-H3K27me3-CT_371	good
PZ-TChIC-K562-SC-H3K27me3-CT_101	good
PZ-TChIC-K562-SC-H3K27me3-CT_303	good
PZ-TChIC-K562-SC-H3K27me3-CT_147	good
PZ-TChIC-K562-SC-H3K27me3-CT_63	good
PZ-TChIC-K562-SC-H3K27me3-CT_213	good
PZ-TChIC-K562-SC-H3K27me3-CT_220	good
PZ-TChIC-K562-SC-H3K27me3-CT_45	good
PZ-TChIC-K562-SC-H3K27me3-CT_114	good
PZ-TChIC-K562-SC-H3K27me3-CT_53	good
PZ-TChIC-K562-SC-H3K27me3-CT_115	good
PZ-TChIC-K562-SC-H3K27me3-CT_9	good
PZ-TChIC-K562-SC-H3K27me3-CT_359	good
PZ-TChIC-K562-SC-H3K27me3-CT_223	good
PZ-TChIC-K562-SC-H3K27me3-CT_224	good
PZ-TChIC-K562-SC-H3K27me3-CT_54	good
PZ-TChIC-K562-SC-H3K27me3-CT_68	good
PZ-TChIC-K562-SC-H3K27me3-CT_199	good
PZ-TChIC-K562-SC-H3K27me3-CT_80	good
PZ-TChIC-K562-SC-H3K27me3-CT_62	good
PZ-TChIC-K562-SC-H3K27me3-CT_124	good
PZ-TChIC-K562-SC-H3K27me3-CT_380	good
PZ-TChIC-K562-SC-H3K27me3-CT_17	good
PZ-TChIC-K562-SC-H3K27me3-CT_74	good
PZ-TChIC-K562-SC-H3K27me3-CT_242	good
PZ-TChIC-K562-SC-H3K27me3-CT_237	good
PZ-TChIC-K562-SC-H3K27me3-CT_271	good
PZ-TChIC-K562-SC-H3K27me3-CT_14	good
PZ-TChIC-K562-SC-H3K27me3-CT_56	good
PZ-TChIC-K562-SC-H3K27me3-CT_30	good
PZ-TChIC-K562-SC-H3K27me3-CT_41	good
PZ-TChIC-K562-SC-H3K27me3-CT_360	good
PZ-TChIC-K562-SC-H3K27me3-CT_64	good
PZ-TChIC-K562-SC-H3K27me3-CT_194	good
PZ-TChIC-K562-SC-H3K27me3-CT_322	good
PZ-TChIC-K562-SC-H3K27me3-CT_144	good
PZ-TChIC-K562-SC-H3K27me3-CT_81	good
PZ-TChIC-K562-SC-H3K27me3-CT_351	good
PZ-TChIC-K562-SC-H3K27me3-CT_6	good
PZ-TChIC-K562-SC-H3K27me3-CT_381	good
PZ-TChIC-K562-SC-H3K27me3-CT_166	good
PZ-TChIC-K562-SC-H3K27me3-CT_281	good
PZ-TChIC-K562-SC-H3K27me3-CT_255	good
PZ-TChIC-K562-SC-H3K27me3-CT_15	good
PZ-TChIC-K562-SC-H3K27me3-CT_39	good
PZ-TChIC-K562-SC-H3K27me3-CT_183	good
PZ-TChIC-K562-SC-H3K27me3-CT_135	good
PZ-TChIC-K562-SC-H3K27me3-CT_67	good
PZ-TChIC-K562-SC-H3K27me3-CT_196	good
PZ-TChIC-K562-SC-H3K27me3-CT_354	good
PZ-TChIC-K562-SC-H3K27me3-CT_192	good
PZ-TChIC-K562-SC-H3K27me3-CT_169	good
PZ-TChIC-K562-SC-H3K27me3-CT_275	good
PZ-TChIC-K562-SC-H3K27me3-CT_181	good
PZ-TChIC-K562-SC-H3K27me3-CT_2	good
PZ-TChIC-K562-SC-H3K27me3-CT_362	good
PZ-TChIC-K562-SC-H3K27me3-CT_13	good
PZ-TChIC-K562-SC-H3K27me3-CT_321	good
PZ-TChIC-K562-SC-H3K27me3-CT_96	good
PZ-TChIC-K562-SC-H3K27me3-CT_128	good
PZ-TChIC-K562-SC-H3K27me3-CT_158	good
PZ-TChIC-K562-SC-H3K27me3-CT_377	good
PZ-TChIC-K562-SC-H3K27me3-CT_66	good
