,TA_start,total,TA_ratio,QC
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_4,1080.0,1498.0,72.09612817089453,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_281,1385.0,1894.0,73.12565997888068,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_62,222.0,398.0,55.778894472361806,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_110,741.0,1478.0,50.13531799729364,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_88,489.0,872.0,56.07798165137615,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_53,1694.0,2583.0,65.58265582655827,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_32,1729.0,2711.0,63.77720398376982,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_223,1306.0,1788.0,73.04250559284117,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_18,877.0,1343.0,65.30156366344005,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_100,7.0,62.0,11.29032258064516,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_379,1487.0,2299.0,64.68029578077426,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_243,470.0,778.0,60.411311053984576,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_205,1391.0,1727.0,80.54429646786335,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_294,943.0,1636.0,57.64058679706602,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_187,893.0,1276.0,69.98432601880877,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_230,821.0,1224.0,67.07516339869281,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_10,260.0,453.0,57.395143487858725,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_40,310.0,523.0,59.273422562141484,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_362,1041.0,1734.0,60.034602076124564,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_26,155.0,333.0,46.546546546546544,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_175,70.0,501.0,13.972055888223553,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_218,618.0,883.0,69.98867497168743,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_296,704.0,1141.0,61.70026292725679,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_376,638.0,1288.0,49.53416149068323,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_179,2451.0,5799.0,42.26590791515778,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_372,1521.0,1875.0,81.12,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_193,367.0,685.0,53.57664233576642,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_185,1220.0,1792.0,68.08035714285714,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_57,969.0,1382.0,70.11577424023154,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_120,1346.0,2100.0,64.09523809523809,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_1,48.0,271.0,17.712177121771216,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_83,955.0,1288.0,74.14596273291926,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_174,1025.0,1567.0,65.41161455009572,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_95,1511.0,1996.0,75.70140280561122,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_280,479.0,741.0,64.64237516869096,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_213,619.0,926.0,66.84665226781857,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_282,2628.0,3364.0,78.12128418549345,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_378,398.0,664.0,59.93975903614458,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_321,343.0,458.0,74.89082969432314,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_344,790.0,1159.0,68.16220880069025,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_305,1284.0,2513.0,51.09430959013132,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_271,992.0,1546.0,64.16558861578267,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_301,851.0,1022.0,83.26810176125244,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_370,695.0,1061.0,65.50424128180961,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_6,1054.0,1428.0,73.80952380952381,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_154,389.0,703.0,55.33428165007113,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_377,1404.0,2006.0,69.99002991026919,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_248,1311.0,1815.0,72.23140495867769,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_58,777.0,1134.0,68.51851851851852,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_346,388.0,719.0,53.963838664812236,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_212,976.0,1695.0,57.581120943952804,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_73,5.0,18.0,27.77777777777778,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_312,721.0,959.0,75.18248175182481,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_108,463.0,797.0,58.092848180677535,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_184,478.0,899.0,53.17018909899889,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_111,1586.0,2780.0,57.05035971223021,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_54,1174.0,1580.0,74.30379746835443,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_299,966.0,1284.0,75.23364485981308,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_272,1336.0,1791.0,74.59519821328865,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_68,942.0,1229.0,76.64768104149715,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_140,785.0,1139.0,68.92010535557506,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_297,1514.0,2286.0,66.22922134733157,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_356,1286.0,2055.0,62.579075425790755,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_41,474.0,1126.0,42.09591474245116,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_48,852.0,1099.0,77.52502274795269,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_17,873.0,1364.0,64.00293255131965,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_66,944.0,1553.0,60.78557630392788,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_35,579.0,747.0,77.51004016064257,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_334,1800.0,2920.0,61.64383561643836,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_307,736.0,1116.0,65.94982078853047,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_329,1138.0,1612.0,70.5955334987593,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_28,6501.0,14083.0,46.16203933820919,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_135,850.0,1262.0,67.35340729001584,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_348,1205.0,1705.0,70.67448680351906,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_275,719.0,1126.0,63.85435168738899,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_36,1147.0,1979.0,57.95856493178373,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_182,604.0,961.0,62.85119667013528,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_238,731.0,1237.0,59.09458367016976,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_380,886.0,1838.0,48.20457018498368,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_24,552.0,1068.0,51.68539325842697,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_310,977.0,1626.0,60.0861008610086,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_286,3488.0,6005.0,58.0849292256453,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_188,1133.0,1495.0,75.78595317725753,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_311,863.0,1108.0,77.88808664259928,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_77,322.0,539.0,59.74025974025974,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_235,1361.0,2024.0,67.24308300395256,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_306,325.0,445.0,73.03370786516854,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_239,2057.0,2677.0,76.8397459843108,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_279,1127.0,1743.0,64.65863453815261,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_8,752.0,1209.0,62.200165425971875,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_27,561.0,931.0,60.257787325456505,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_369,1543.0,2244.0,68.76114081996435,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_234,717.0,1814.0,39.525909592061744,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_383,329.0,563.0,58.43694493783303,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_186,1222.0,2051.0,59.58069234519746,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_119,992.0,1197.0,82.87385129490391,good
