	step	PT	UMAP1	UMAP2	lin	RT	lin2	RT_m	step_id
1	1	0.3725373316	11.126464	4.5995846	ect1	mESCs	Pluripotent mESCs	0.0	1:ect1
2	2	0.46334159890000004	11.385221	4.5090275	ect1	mESCs	Pluripotent mESCs	0.0	2:ect1
3	3	0.5417578815	11.454574	4.386492	ect1	mESCs	Pluripotent mESCs	0.0	3:ect1
4	4	0.6055707372000001	11.645337	4.233151	ect1	mESCs	Pluripotent mESCs	0.0	4:ect1
5	5	0.6706454019999998	11.506994	4.3826466	ect1	mESCs	Pluripotent mESCs	0.0	5:ect1
6	6	0.7386451256000002	11.550562	4.3902154	ect1	mESCs	Pluripotent mESCs	0.0	6:ect1
7	7	0.8075167897	11.470323	4.2688046	ect1	mESCs	Pluripotent mESCs	1.68	7:ect1
8	8	0.8892268190999999	11.498241	4.3284016	ect1	mESCs	Pluripotent mESCs	0.0	8:ect1
9	9	0.9661944036	11.29548	4.487218	ect1	mESCs	Pluripotent mESCs	0.0	9:ect1
10	10	1.0492609179999999	11.36153	4.3545885	ect1	mESCs	Pluripotent mESCs	1.44	10:ect1
11	11	1.137803718	11.354447	4.504107	ect1	mESCs	Pluripotent mESCs	1.44	11:ect1
12	12	1.227428264	11.315815	4.5416374	ect1	mESCs	Pluripotent mESCs	0.0	12:ect1
13	13	1.3203625509999997	11.403002	4.5173097	ect1	mESCs	Pluripotent mESCs	0.0	13:ect1
14	14	1.4210018569999996	11.468866	4.455546	ect1	mESCs	Pluripotent mESCs	0.0	14:ect1
15	15	1.5259784980000004	11.281655	4.502635	ect1	mESCs	Pluripotent mESCs	1.68	15:ect1
16	16	1.6214562569999995	11.460884	4.391166	ect1	mESCs	Pluripotent mESCs	1.44	16:ect1
17	17	1.721798215	11.486903	4.175813	ect1	mESCs	Pluripotent mESCs	3.36	17:ect1
18	18	1.816995278	11.476799	4.470221	ect1	mESCs	Pluripotent mESCs	2.64	18:ect1
19	19	1.920784677	11.554338	4.392248	ect1	mESCs	Pluripotent mESCs	0.0	19:ect1
20	20	2.006427672	11.548886	4.3445506	ect1	mESCs	Pluripotent mESCs	0.0	20:ect1
21	21	2.10145923	11.530478	4.4519396	ect1	mESCs	Pluripotent mESCs	0.0	21:ect1
22	22	2.1946430030000004	11.43274	4.47545	ect1	mESCs	Pluripotent mESCs	0.0	22:ect1
23	23	2.3239184020000003	11.602614	4.289101	ect1	mESCs	Pluripotent mESCs	0.0	23:ect1
24	24	2.4696848599999996	11.622875	4.3315663	ect1	mESCs	Pluripotent mESCs	0.0	24:ect1
25	25	2.6109142509999996	11.652009	4.354657	ect1	mESCs	Pluripotent mESCs	1.68	25:ect1
26	26	2.7320748490000004	11.554913	4.2695875	ect1	mESCs	Pluripotent mESCs	0.72	26:ect1
27	27	2.855737008	11.775082	4.2496943	ect1	mESCs	Pluripotent mESCs	0.0	27:ect1
28	28	2.998822895	11.653786	4.283058	ect1	mESCs	Pluripotent mESCs	1.68	28:ect1
29	29	3.1864833550000005	11.6576	4.4459653	ect1	mESCs	Pluripotent mESCs	0.0	29:ect1
30	30	3.335302126	11.74118	4.4125	ect1	mESCs	Pluripotent mESCs	0.0	30:ect1
31	31	3.513640805	11.768203	4.3063445	ect1	mESCs	Pluripotent mESCs	0.0	31:ect1
32	32	3.739240205	11.801035	4.2976055	ect1	mESCs	Pluripotent mESCs	1.2	32:ect1
33	33	3.9936504119999996	11.675153	4.303569	ect1	mESCs	Pluripotent mESCs	1.2	33:ect1
34	34	4.2354350389999995	11.8568535	4.217493	ect1	mESCs	Pluripotent mESCs	0.0	34:ect1
35	35	4.533736216	11.725695	4.132668	ect1	mESCs	Pluripotent mESCs	5.76	35:ect1
36	36	4.955100076	11.760181	4.337682	ect1	mESCs	Pluripotent mESCs	1.44	36:ect1
37	37	5.805180276	11.845388	4.22457	ect1	mESCs	Pluripotent mESCs	0.0	37:ect1
38	38	11.303958404000003	9.567925	4.778676	ect1	mESCs	Pluripotent mESCs	13.44	38:ect1
39	39	21.984440579999998	6.0552607	5.3099084	ect1	Gastd4	Pluripotent Gastd4	97.44	39:ect1
40	40	24.042572319999998	5.3956842	5.552048	ect1	Gastd3	Pluripotent Gastd3	89.52	40:ect1
41	41	24.82576758	5.167246	5.6075892	ect1	Gastd3	Pluripotent Gastd3	87.6	41:ect1
42	42	25.35503867	5.2030416	5.6942115	ect1	Gastd3	Pluripotent Gastd3	86.64	42:ect1
43	43	25.681811940000003	5.114046	5.822847	ect1	Gastd3	Pluripotent Gastd3	85.44	43:ect1
44	44	25.88188079	5.083973	5.9077754	ect1	Gastd3	Pluripotent Gastd3	79.92	44:ect1
45	45	26.018406959999997	5.07943	6.0030775	ect1	Gastd3	Pluripotent Gastd3	78.0	45:ect1
46	46	26.127388369999995	5.0180526	6.095453	ect1	Gastd3	Pluripotent Gastd3	79.68	46:ect1
47	47	26.217187610000007	5.094163	6.1744328	ect1	Gastd3	Pluripotent Gastd3	77.76	47:ect1
48	48	26.287837279999994	5.0233827	6.1258473	ect1	Gastd3	Pluripotent Gastd3	76.32	48:ect1
49	49	26.35631734	4.8845882	6.108	ect1	Gastd3	Pluripotent Gastd3	78.96	49:ect1
50	50	26.41734228	4.832825	6.0712643	ect1	Gastd3	Pluripotent Gastd3	78.24	50:ect1
51	51	26.474872510000004	4.834589	6.2475863	ect1	Gastd3	Pluripotent Gastd3	76.8	51:ect1
52	52	26.52653363	4.7487493	6.2779083	ect1	Gastd3	Pluripotent Gastd3	76.56	52:ect1
53	53	26.583327179999998	4.697957	6.146789	ect1	Gastd3	Pluripotent Gastd3	78.0	53:ect1
54	54	26.635476769999997	4.556083	6.2589016	ect1	Gastd3	Pluripotent Gastd3	78.96	54:ect1
55	55	26.681696180000003	4.5445123	6.3240285	ect1	Gastd3	Pluripotent Gastd3	78.0	55:ect1
56	56	26.73083057	4.423259	6.1428943	ect1	Gastd3	Pluripotent Gastd3	80.16	56:ect1
57	57	26.786797709999995	4.360597	6.1802983	ect1	Gastd3	Pluripotent Gastd3	80.88	57:ect1
58	58	26.837385519999998	4.426596	6.120869	ect1	Gastd3	Pluripotent Gastd3	76.8	58:ect1
59	59	26.887166380000004	4.3877425	6.1362233	ect1	Gastd3	Pluripotent Gastd3	81.6	59:ect1
60	60	26.936853539999998	4.270596	6.246236	ect1	Gastd3	Pluripotent Gastd3	78.72	60:ect1
61	61	26.990727539999998	4.1914372	6.208067	ect1	Gastd3	Pluripotent Gastd3	80.64	61:ect1
62	62	27.04872966	4.052049	6.1828747	ect1	Gastd3	Pluripotent Gastd3	80.64	62:ect1
63	63	27.11722444	4.142871	6.137973	ect1	Gastd3	Pluripotent Gastd3	80.16	63:ect1
64	64	27.185784530000006	3.9815092	6.1427555	ect1	Gastd3	Pluripotent Gastd3	81.6	64:ect1
65	65	27.26310263	3.9067075	6.2123966	ect1	Gastd3	Pluripotent Gastd3	83.28	65:ect1
66	66	27.344774770000004	3.731716	6.0358067	ect1	Gastd4	Pluripotent Gastd4	88.32	66:ect1
67	67	27.42958745	3.549758	6.079269	ect1	Gastd4	Pluripotent Gastd4	89.04	67:ect1
68	68	27.543857350000007	3.4923954	6.0339413	ect1	Gastd4	Pluripotent Gastd4	89.04	68:ect1
69	69	27.641743209999994	3.2069445	5.897191	ect1	Gastd4	Pluripotent Gastd4	92.16	69:ect1
70	70	27.767898409999997	3.0355597	5.8600397	ect1	Gastd4	Pluripotent Gastd4	95.52	70:ect1
71	71	27.88483996	3.0494318	5.6956706	ect1	Gastd4	Pluripotent Gastd4	96.0	71:ect1
72	72	27.99226697	3.0513437	5.745771	ect1	Gastd4	Pluripotent Gastd4	96.72	72:ect1
73	73	28.098023780000002	2.8464768	5.735781	ect1	Gastd4	Pluripotent Gastd4	97.44	73:ect1
74	74	28.179391140000007	2.9183805	5.708293	ect1	Gastd4	Pluripotent Gastd4	99.84	74:ect1
75	75	28.255711640000005	2.8178012	5.8656597	ect1	Gastd4	Pluripotent Gastd4	96.48	75:ect1
76	76	28.32245981	2.7813985	5.7970166	ect1	Gastd4	Pluripotent Gastd4	98.88	76:ect1
77	77	28.386078789999992	2.7799702	5.8188953	ect1	Gastd4	Pluripotent Gastd4	98.4	77:ect1
78	78	28.43972179	2.6884336	5.610643	ect1	Gastd4	Pluripotent Gastd4	97.68	78:ect1
79	79	28.48555404999999	2.6049216	5.493017	ect1	Gastd4	Pluripotent Gastd4	97.44	79:ect1
80	80	28.529203439999993	2.713269	5.7024474	ect1	Gastd4	Pluripotent Gastd4	96.72	80:ect1
81	81	28.565824199999994	2.585051	5.682549	ect1	Gastd4	Pluripotent Gastd4	99.36	81:ect1
82	82	28.598679629999996	2.6182966	5.8200088	ect1	Gastd4	Pluripotent Gastd4	97.2	82:ect1
83	83	28.637431519999996	2.4826555	5.6148252	ect1	Gastd4	Pluripotent Gastd4	99.12	83:ect1
84	84	28.676307669999996	2.4768586	5.893042	ect1	Gastd4	Pluripotent Gastd4	98.16	84:ect1
85	85	28.715397199999998	2.3979254	5.7220516	ect1	Gastd4	Pluripotent Gastd4	98.88	85:ect1
86	86	28.75364659	2.3786068	5.735253	ect1	Gastd4	Pluripotent Gastd4	98.16	86:ect1
87	87	28.797316409999997	2.4357054	5.82884	ect1	Gastd4	Pluripotent Gastd4	98.4	87:ect1
88	88	28.833566319999996	2.3965964	5.7018986	ect1	Gastd4	Pluripotent Gastd4	97.68	88:ect1
89	89	28.87833229	2.3280752	5.5311418	ect1	Gastd4	Pluripotent Gastd4	97.2	89:ect1
90	90	28.920346610000003	2.2269285	5.4880548	ect1	Gastd4	Pluripotent Gastd4	99.84	90:ect1
91	91	28.958684660000003	2.2433949	5.752236	ect1	Gastd4	Pluripotent Gastd4	98.16	91:ect1
92	92	28.998813700000007	2.1421309	5.6754107	ect1	Gastd4	Pluripotent Gastd4	101.04	92:ect1
93	93	29.03973932	2.1343591	5.740185	ect1	Gastd4	Pluripotent Gastd4	99.6	93:ect1
94	94	29.075703310000005	2.131884	5.6981525	ect1	Gastd4	Pluripotent Gastd4	100.08	94:ect1
95	95	29.11775904999999	2.0487878	5.6672473	ect1	Gastd4	Pluripotent Gastd4	99.84	95:ect1
96	96	29.167128260000005	1.9133596	5.7162957	ect1	Gastd4	Pluripotent Gastd4	101.28	96:ect1
97	97	29.216738839999998	1.8883731	5.6883526	ect1	Gastd4	Pluripotent Gastd4	102.72	97:ect1
98	98	29.26479318	1.8724375	5.62704	ect1	Gastd4	Pluripotent Gastd4	102.96	98:ect1
99	99	29.30618614	1.6452762	5.5177097	ect1	Gastd4	Pluripotent Gastd4	106.08	99:ect1
100	100	29.356385619999998	1.5771025	5.4551497	ect1	Gastd4	Pluripotent Gastd4	105.12	100:ect1
101	101	29.412181359999998	1.4707513	5.3080363	ect1	Gastd4	Pluripotent Gastd4	107.76	101:ect1
102	102	29.464882550000002	1.5822731	5.4060884	ect1	Gastd4	Pluripotent Gastd4	108.96	102:ect1
103	103	29.515860649999993	1.3551533	5.3952794	ect1	Gastd5	Ectoderm Gastd5	108.96	103:ect1
104	104	29.568664320000003	1.1048362	5.196382	ect1	Gastd5	Ectoderm Gastd5	114.96	104:ect1
105	105	29.618259	1.0737488	5.227279	ect1	Gastd5	Ectoderm Gastd5	116.88	105:ect1
106	106	29.67100999	1.0647887	5.1386003	ect1	Gastd5	Ectoderm Gastd5	117.36	106:ect1
107	107	29.71365816	1.0316842	5.1895223	ect1	Gastd5	Ectoderm Gastd5	116.16	107:ect1
108	108	29.762079040000003	0.9436512	4.897974	ect1	Gastd5	Ectoderm Gastd5	117.36	108:ect1
109	109	29.811560209999996	0.9819069	5.0532537	ect1	Gastd5	Ectoderm Gastd5	119.28	109:ect1
110	110	29.867102919999997	1.0105677	4.856568	ect1	Gastd5	Ectoderm Gastd5	116.88	110:ect1
111	111	29.918569380000008	0.96575844	4.789741	ect1	Gastd5	Ectoderm Gastd5	119.28	111:ect1
112	112	29.983624609999996	0.8193201	4.680683	ect1	Gastd5	Ectoderm Gastd5	122.88	112:ect1
113	113	30.054248009999995	0.7713082	4.62507	ect1	Gastd5	Ectoderm Gastd5	120.0	113:ect1
114	114	30.148467049999994	0.820313	4.3354836	ect1	Gastd5	Ectoderm Gastd5	120.72	114:ect1
115	115	30.236304049999998	0.7712572	4.300346	ect1	Gastd5	Ectoderm Gastd5	122.64	115:ect1
116	116	30.338590049999997	0.6031606	4.018576	ect1	Gastd5	Ectoderm Gastd5	122.16	116:ect1
117	117	30.4299552	0.77469134	3.7860038	ect1	Gastd5	Ectoderm Gastd5	122.64	117:ect1
118	118	30.515171149999997	0.6821669	3.760752	ect1	Gastd5	Ectoderm Gastd5	123.36	118:ect1
119	119	30.602883040000002	0.5639572	3.5898008	ect1	Gastd5	Ectoderm Gastd5	128.16	119:ect1
120	120	30.687993929999998	0.5316808	3.3512352	ect1	Gastd5	Ectoderm Gastd5	127.68	120:ect1
121	121	30.79034654	0.45997268	3.3840618	ect1	Gastd5	Ectoderm Gastd5	129.12	121:ect1
122	122	30.88311702	0.529125	3.4743326	ect1	Gastd5	Ectoderm Gastd5	129.84	122:ect1
123	123	30.97936144	0.6029765	3.2765195	ect1	Gastd5	Ectoderm Gastd5	126.24	123:ect1
124	124	31.059187500000004	0.59536743	3.0678687	ect1	Gastd5	Ectoderm Gastd5	126.72	124:ect1
125	125	31.148758819999998	0.54397386	3.0778918	ect1	Gastd5	Ectoderm Gastd5	129.12	125:ect1
126	126	31.24222412	0.5090785	3.05578	ect1	Gastd5	Ectoderm Gastd5	127.2	126:ect1
127	127	31.321203500000003	0.54079217	2.7758048	ect1	Gastd5	Ectoderm Gastd5	126.24	127:ect1
128	128	31.413370720000003	0.5186279	2.7645676	ect1	Gastd6	Ectoderm Gastd6	128.88	128:ect1
129	129	31.507089660000002	0.58787733	2.8545883	ect1	Gastd5	Ectoderm Gastd5	128.88	129:ect1
130	130	31.619226350000005	0.42267966	2.5644574	ect1	Gastd5	Ectoderm Gastd5	132.96	130:ect1
131	131	31.723737560000004	0.48318204	2.340188	ect1	Gastd5	Ectoderm Gastd5	130.8	131:ect1
132	132	31.84446293	0.64309335	2.605143	ect1	Gastd5	Ectoderm Gastd5	131.04	132:ect1
133	133	32.00352958	0.67525566	2.2010107	ect1	Gastd5	Ectoderm Gastd5	134.4	133:ect1
134	134	32.191222859999996	0.6297184	2.071183	ect1	Gastd6	Ectoderm Gastd6	135.36	134:ect1
135	135	32.38776188	0.66460454	1.6194165	ect1	Gastd6	Ectoderm Gastd6	138.0	135:ect1
136	136	32.577269789999995	0.8003195	1.4534073	ect1	Gastd6	Ectoderm Gastd6	139.92	136:ect1
137	137	32.786330650000004	0.90480536	1.3017111	ect1	Gastd6	Ectoderm Gastd6	142.32	137:ect1
138	138	33.05885687	0.79854476	1.0138459	ect1	Gastd6	Ectoderm Gastd6	148.08	138:ect1
139	139	33.28641705	0.7950098	0.87487257	ect1	Gastd6	Ectoderm Gastd6	149.28	139:ect1
140	140	33.55732424	0.7772729	0.75820756	ect1	Gastd6	Ectoderm Gastd6	151.2	140:ect1
141	141	33.89308901	0.8265553	0.5400826	ect1	Gastd7	Ectoderm Gastd7	153.84	141:ect1
142	142	34.36894846	0.7668997	0.14788075	ect1	Gastd7	Ectoderm Gastd7	156.72	142:ect1
143	143	34.9126202	0.8899128	-0.1598971	ect1	Gastd7	Ectoderm Gastd7	154.32	143:ect1
144	144	35.974010160000006	0.9179377	-0.67457217	ect1	Gastd7	Ectoderm Gastd7	156.24	144:ect1
145	145	37.04443329	0.7094034	-1.2432932	ect1	Gastd7	Ectoderm Gastd7	156.0	145:ect1
146	146	38.263706709999994	0.6809694	-1.5894276	ect1	Gastd7	Ectoderm Gastd7	161.76	146:ect1
147	147	39.96653222	0.8179203	-1.8685907	ect1	Gastd7	Ectoderm Gastd7	156.48	147:ect1
148	148	41.571049470000005	1.0709984	-2.1335828	ect1	Gastd7	Ectoderm Gastd7	157.92	148:ect1
149	149	43.07698781	1.1862018	-2.4490604	ect1	Gastd7	Ectoderm Gastd7	157.92	149:ect1
150	150	44.78658880000001	1.1353494	-2.7180681	ect1	Gastd7	Ectoderm Gastd7	161.52	150:ect1
151	151	46.64886858	1.1573131	-3.1046731	ect1	Gastd7	Ectoderm Gastd7	161.04	151:ect1
152	152	48.44367893	1.0083995	-3.3800611	ect1	Gastd7	Ectoderm Gastd7	161.04	152:ect1
153	153	50.220888470000006	0.87700415	-3.5879953	ect1	Gastd7	Ectoderm Gastd7	161.76	153:ect1
154	154	52.23124595	0.5531483	-3.7536838	ect1	Gastd7	Ectoderm Gastd7	161.52	154:ect1
155	155	53.984863360000006	0.5903212	-3.9945416	ect1	Gastd7	Ectoderm Gastd7	161.76	155:ect1
156	156	55.736773379999995	0.43369335	-4.154245	ect1	Gastd7	Ectoderm Gastd7	162.72	156:ect1
157	157	57.489173149999985	0.24952467	-4.493426	ect1	Gastd7	Ectoderm Gastd7	164.4	157:ect1
158	158	58.99052963	-0.025750004	-4.645374	ect1	Gastd7	Ectoderm Gastd7	161.76	158:ect1
159	159	60.28642311999999	-0.3563268	-4.7869606	ect1	Gastd7	Ectoderm Gastd7	163.44	159:ect1
