index,trajectories,ect1_ld,ect2_ld,ect3_ld,mes1_ld,mes2_ld,mes3_ld,pluri1_ld,pluri2_ld,endo1_ld
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_341,Mes3,,,,,,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_310,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_302,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_5,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_184,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_186,End1,,,,,,,,,Endoderm Gastd5
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_44,End1,,,,,,,,,Endoderm Gastd5
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_74,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_375,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_372,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_345,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_64,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_312,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_205,x,,,,,,,Pluripotent Gastd5,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_34,x,,,,,,,Pluripotent Gastd5,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_206,Mesoderm Progenitors,,,,Mesoderm Gastd5,Mesoderm Gastd5,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_368,Mesoderm Progenitors,,,,Mesoderm Gastd5,Mesoderm Gastd5,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_284,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_41,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_335,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_374,Pluripotent 2,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_298,End1,,,,,,,,,Endoderm Gastd5
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_147,Pluripotent 2,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_135,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_299,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_12,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_269,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_134,x,,,,,,,Pluripotent Gastd5,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_71,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_47,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_2,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_33,Pluripotent 2,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_101,Mesoderm Progenitors,,,,Mesoderm Gastd5,Mesoderm Gastd5,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_318,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_151,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_149,Mes1,,,,Mesoderm Gastd5,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_240,x,,,,,,,Pluripotent Gastd5,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_351,Mesoderm Progenitors,,,,Mesoderm Gastd5,Mesoderm Gastd5,Mesoderm Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_46,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_333,End1,,,,,,,,,Endoderm Gastd5
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_37,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_120,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_24,Ectoderm Progenitors,Ectoderm Gastd5,Ectoderm Gastd5,Ectoderm Gastd5,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_94,x,,,,,,,,Pluripotent Gastd5,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_204,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_156,Mes2,,,,,Mesoderm Gastd5,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_279,Pluripotent 2,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,Pluripotent Gastd5,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_15,Mes1,,,,Mesoderm Gastd5,,,,,
