,source,target,weight
0,AP1,Aanat,1.0
1,AP1,Abca1,-1.0
2,AP1,Abcb11,1.0
3,AP1,Abcc1,1.0
4,AP1,Abcc3,1.0
5,AP1,Abcc8,1.0
6,AP1,Abl1,1.0
7,AP1,Ace,1.0
8,AP1,Ache,1.0
9,AP1,Acot11,1.0
10,AP1,Acp5,1.0
11,AP1,Acta1,1.0
12,AP1,Adam10,1.0
13,AP1,Adarb1,1.0
14,AP1,Adcyap1,1.0
15,AP1,Adh7,1.0
16,AP1,Adm,1.0
17,AP1,Adra1d,1.0
18,AP1,Aff2,1.0
19,AP1,Afp,1.0
20,AP1,Agt,1.0
21,AP1,Agtr2,1.0
22,AP1,Agtrap,1.0
23,AP1,Ahsg,1.0
24,AP1,Akr1b1,1.0
25,AP1,Akt1,1.0
26,AP1,Alas2,1.0
27,AP1,Alb,-1.0
28,AP1,Alk,1.0
29,AP1,Alox12,1.0
30,AP1,Ankrd1,1.0
31,AP1,Ankrd2,1.0
32,AP1,Ap3b1,1.0
33,AP1,Apc,1.0
34,AP1,Apex1,1.0
35,AP1,Apob,1.0
36,AP1,Apoc3,-1.0
37,AP1,Apoe,-1.0
38,AP1,Apom,-1.0
39,AP1,App,1.0
40,AP1,Aprt,1.0
41,AP1,Aqp1,1.0
42,AP1,Aqp5,1.0
43,AP1,Ar,-1.0
44,AP1,Areg,1.0
45,AP1,Arg1,1.0
46,AP1,Asah2,1.0
47,AP1,Asic3,1.0
48,AP1,Atf2,1.0
49,AP1,Atf3,1.0
50,AP1,Atm,1.0
51,AP1,Atp6ap1,1.0
52,AP1,Avp,1.0
53,AP1,Axin1,1.0
54,AP1,Axl,1.0
55,AP1,B3gnt9,1.0
56,AP1,Babam2,1.0
57,AP1,Bace1,1.0
58,AP1,Bak1,1.0
59,AP1,Batf3,1.0
60,AP1,Bax,1.0
61,AP1,Bbc3,1.0
62,AP1,Bcl2,1.0
63,AP1,Bcl2l1,1.0
64,AP1,Bcl2l11,1.0
65,AP1,Bcl3,1.0
66,AP1,Bcl6,1.0
67,AP1,Bcr,1.0
68,AP1,Bdkrb1,1.0
69,AP1,Bdnf,1.0
70,AP1,Becn1,1.0
71,AP1,Birc3,1.0
72,AP1,Bloc1s3,1.0
73,AP1,Bmp2,1.0
74,AP1,Bmp4,1.0
75,AP1,Brca1,1.0
76,AP1,Brf1,1.0
77,AP1,Btk,1.0
78,AP1,C1qtnf3,1.0
79,AP1,C3ar1,1.0
80,AP1,Cabin1,1.0
81,AP1,Calcb,1.0
82,AP1,Calm1,1.0
83,AP1,Camk4,1.0
84,AP1,Capn1,1.0
85,AP1,Capn6,1.0
86,AP1,Capns1,1.0
87,AP1,Car2,1.0
88,AP1,Car9,1.0
89,AP1,Carm1,1.0
90,AP1,Casp1,1.0
91,AP1,Casp14,1.0
92,AP1,Casp3,1.0
93,AP1,Casp8,1.0
94,AP1,Casp9,1.0
95,AP1,Cast,1.0
96,AP1,Cat,1.0
97,AP1,Cck,1.0
98,AP1,Ccl11,1.0
99,AP1,Ccl20,1.0
100,AP1,Ccl4,1.0
101,AP1,Ccl5,1.0
102,AP1,Ccn1,1.0
103,AP1,Ccn2,-1.0
104,AP1,Ccn3,1.0
105,AP1,Ccna2,1.0
106,AP1,Ccnd1,-1.0
107,AP1,Ccnd2,1.0
108,AP1,Ccne1,1.0
109,AP1,Ccr4,1.0
110,AP1,Ccr5,1.0
111,AP1,Ccr7,1.0
112,AP1,Cct2,1.0
113,AP1,Cd14,1.0
114,AP1,Cd164,1.0
115,AP1,Cd244a,1.0
116,AP1,Cd24a,1.0
117,AP1,Cd28,1.0
118,AP1,Cd2ap,1.0
119,AP1,Cd320,1.0
120,AP1,Cd38,1.0
121,AP1,Cd3e,1.0
122,AP1,Cd40,1.0
123,AP1,Cd40lg,1.0
124,AP1,Cd44,1.0
125,AP1,Cd68,1.0
126,AP1,Cd69,1.0
127,AP1,Cd80,1.0
128,AP1,Cd82,1.0
129,AP1,Cd8a,1.0
130,AP1,Cd9,1.0
131,AP1,Cdc42,1.0
132,AP1,Cdh1,1.0
133,AP1,Cdh13,1.0
134,AP1,Cdh17,1.0
135,AP1,Cdh2,-1.0
136,AP1,Cdk2,-1.0
137,AP1,Cdk4,-1.0
138,AP1,Cdk5,1.0
139,AP1,Cdk5r1,1.0
140,AP1,Cdkn1a,-1.0
141,AP1,Cdkn1b,-1.0
142,AP1,Cdkn2a,1.0
