,logFC,pval
AP1,-2.190095,0.028532179100356492
Apex1,-2.3960526,0.016584476612062825
Arid1a,-4.518493,6.274099241781485e-06
Arid3a,-2.122036,0.033850511581709763
Arid4b,-5.2175903,1.8359855739178758e-07
Bhlha15,-3.1646037,0.0015559410081808704
Cebpa,-3.9247446,8.719635273844462e-05
Cebpd,-2.6584954,0.007857090343717867
Crem,-2.2634633,0.02362089536898896
Dlx5,-2.0854166,0.037047801214620674
Dmap1,-4.9747963,6.601493677221334e-07
Eomes,-2.1513884,0.031460938262401386
Esrrb,-7.187694,6.889623817969296e-13
Foxf2,-2.761892,0.005753504577080244
Foxl2,-2.1546786,0.03120233094552375
Foxq1,-2.2938046,0.021815018101689263
Gabpa,-2.1815543,0.029157392588583773
Gata5,-2.4495714,0.014313607566492517
Grhl2,-5.369937,7.989800052053678e-08
Hand1,-2.1286697,0.03329729668950835
Hmgb2,-3.2659583,0.0010933089734384911
Hnf4a,-2.280807,0.022573358757547485
Hsf4,-2.5965424,0.009425606739135197
Ing4,-2.7652442,0.005694736656891651
Irf1,-2.8824577,0.0039512753897513716
Klf2,-3.5944657,0.0003260650759724219
Klf4,-3.572029,0.0003552981164551864
Med1,-2.9592495,0.003088549459011756
Meis2,-2.3328047,0.019671110307937858
Meox2,-2.9730623,0.002952974235460335
Myc,-5.572761,2.5490494140468275e-08
Nanog,-2.9219706,0.0034832585895395976
Neurod6,-2.7573528,0.005833955401526229
Nfatc3,-2.9170623,0.0035385155824336242
Nfe2l1,-3.3970861,0.0006827844034862003
Nfe2l2,-3.4594655,0.0005427020812148403
Nkrf,-3.2975078,0.000977661857867689
Nkx3-1,-2.513125,0.011976741793626492
Nkx3-2,-2.2002988,0.027800382621310155
Npm1,-2.250249,0.02444709378473293
Nr1h3,-2.091838,0.03646922944255379
Nr1h4,-2.4877124,0.012867180171354872
Nr3c1,-3.2526205,0.0011459037102304114
Nr5a2,-2.9143698,0.0035691644463989643
Pawr,-2.8370528,0.004559106732287214
Pou5f1,-4.113124,3.9235251016687673e-05
Pparg,-3.0548215,0.0022557639174418703
Ppargc1a,-2.6226132,0.008734351755376908
Runx3,-2.2663562,0.023443286504795408
Sall1,-2.422583,0.01542197070678732
Sall3,-3.8553019,0.00011605302136326269
Smad7,-2.3461218,0.018982419529672886
Smarca1,-2.734082,0.006262539456957591
Smarca4,-2.7079659,0.00677711458227178
Sp1,-4.21699,2.489880982533837e-05
Sp2,-2.0044386,0.04504043300814826
Spdef,-2.443261,0.01456627476585946
Srebf1,-2.634902,0.008424517619618271
Stat3,-2.8236837,0.004753566998366864
T,-2.058684,0.039541160285453736
Tbp,-2.132176,0.033008040541018434
Tbx18,-2.1881008,0.02867711600625754
Tfap2a,-2.0302744,0.04234567295924133
Tfe3,-3.7217865,0.00019851671741908213
Thap11,-2.0077186,0.04469050583314889
Trp73,-3.544927,0.0003938772299954674
Tsc22d1,-2.247771,0.024604775747209533
Wwtr1,-4.4008193,1.0856232243178916e-05
Yap1,-4.198714,2.6993168325282336e-05
Zfp143,-2.9577656,0.0031034470886452748
Zfp263,-2.5530086,0.010689168169162164
Zfp362,-2.2062068,0.027384116581574167
Zfp42,-2.2545192,0.024177403927033117
Zic2,-2.5168493,0.011850940946809402
Zkscan7,-2.7525733,0.005919760517375835
