,logFC,pval
Ascl1,5.064514,4.141369117068781e-07
Atoh1,4.4131045,1.0258582389667203e-05
Bcl11a,4.259234,2.0633627612161738e-05
Ctbp1,3.6351597,0.0002787063087875271
Ctbp2,2.7505636,0.005956176740921193
Cux1,2.683362,0.007296331964378611
Dlx1,3.7500496,0.00017744188210893654
Dlx2,2.2741458,0.022970808481445826
Dlx3,2.539993,0.011095131662658195
E2f5,2.9267864,0.0034298074413845964
Ebf1,2.822285,0.00477434116150082
Epas1,2.9129243,0.0035857187019545434
Ewsr1,2.0165462,0.043760076776843015
Ezh2,3.3638425,0.0007705137224891265
Fezf1,4.1294227,3.6557803720132395e-05
Foxa1,3.877206,0.00010609815586774704
Foxc1,3.8958282,9.827426501187699e-05
Foxg1,3.043968,0.002338708061937958
Foxn4,2.19025,0.02852094194319276
Foxo4,2.7097633,0.006740517523661553
Gata3,2.2066653,0.027352039180059913
Gli1,2.1304889,0.033146950604630444
Gli2,2.785107,0.005357492766559598
Gli3,2.477189,0.01325274045704368
Hbp1,2.3959854,0.016587517849674556
Hdac1,2.5719354,0.010122392079367224
Hdgf,3.176112,0.0014955537381174766
Hes1,2.1866286,0.028784526943378033
Hey2,2.1482322,0.03171073969037161
Hoxa11,2.2874045,0.022185613024729375
Hoxa9,4.4410853,9.012458275865318e-06
Hoxb2,2.260111,0.02382815500072154
Hoxc6,5.16191,2.474600068332661e-07
Kat6a,2.7395582,0.006159207778816134
Lmo2,2.4284904,0.015173109107261593
Lrrfip1,2.184598,0.028933244087061657
Mecom,2.5442078,0.010962195051289222
Mef2c,2.722282,0.006490518318100668
Mesp2,2.3208382,0.020308468039029172
Mkx,5.353336,8.757543605885886e-08
Msx1,2.2104733,0.027086862365173808
Mta1,2.6574178,0.007882242463723519
Myod1,3.211267,0.0013242034833907247
Myog,3.0744662,0.002112456959649506
Mzf1,2.6188817,0.008830427648572888
Ncoa2,3.0885012,0.00201523995142295
Ncor1,2.6144202,0.008946538692598973
Neurod1,2.3154597,0.020600757436616542
Neurog3,2.328498,0.01989845727160764
Nfib,3.8051374,0.00014226944244770623
Nfix,3.0137243,0.0025847863887436687
Nhlh1,2.615777,0.008911083513831679
Nkx2-2,3.0101304,0.0026155513310904786
Notch1,2.6371493,0.008368931611934877
Nr2e1,4.0506887,5.1315427439955134e-05
Nr2f6,2.808803,0.004978818569734927
Nr4a2,2.0344863,0.041919552788211585
Pax3,3.1846402,0.0014522047616620502
Pax6,5.1041517,3.362077450626853e-07
Pax7,3.8593683,0.00011414073507392922
Pbrm1,2.8917084,0.0038368534626781244
Pbx2,2.8974466,0.00376739807058589
Pgr,2.9650562,0.003030878669503883
Prox1,4.808924,1.531683767255238e-06
Prrx1,2.944809,0.003236334367288854
Ptf1a,2.5789247,0.009919959668128683
Pura,2.5244534,0.011597721869938305
Rarg,3.158834,0.0015870544344810176
Satb2,2.699485,0.006952209700230139
Six1,6.3346777,2.443885450689723e-10
Six3,4.2407556,2.2405849158746635e-05
Smad9,2.1016722,0.03559807824952219
Sox10,4.6369553,3.5646169952389315e-06
Sox17,2.0099382,0.04445499742523799
Sox3,3.7637115,0.00016802659728634153
Sox5,3.6454408,0.000267805741781897
Sox9,2.2902856,0.02201811500936308
Stat5b,2.6343293,0.008438735134312984
Tal1,2.8005745,0.005107479329131785
Tbx3,3.0433307,0.002343664090875947
Tcf12,2.21071,0.02707044950497493
Tcf3,3.1578763,0.0015922741003811464
Tet1,3.3986223,0.0006789642779731771
Tfap2d,2.1702342,0.030004222171838613
Twist1,2.6645832,0.00771634885533756
Zbtb17,2.0022275,0.04527763075977793
Zbtb7b,2.9242585,0.0034577715653559436
Zeb1,4.4105926,1.037816953901304e-05
