,logFC,pval
Arid3a,-3.0655658,0.0021765830471719887
Bach2,-4.219049,2.468272961268503e-05
Bcl11b,-2.9282842,0.0034136892684601687
Bcl3,-2.1250303,0.03360096060432802
Creb5,-2.2875996,0.022175192451391792
Crebbp,-2.4722407,0.013438304694314944
Ctbp1,-2.7558384,0.005861507164685189
E2f1,-5.8738203,4.351987325736869e-09
E2f2,-4.4795804,7.536204141904986e-06
E2f3,-3.8285344,0.00012945104051709472
E2f4,-6.1214614,9.511216784585193e-10
Ezh2,-2.1646793,0.030428528878869553
Gabpa,-2.7300737,0.006339667111154126
Gbx2,-2.813116,0.004912997174851779
Hcfc1,-2.581004,0.009861084605137876
Hey1,-3.4460208,0.000570519456502023
Hoxa1,-2.3594496,0.018315253626496192
Hoxa5,-3.4214337,0.0006246387754276638
Kcnip3,-2.1275709,0.03338951603767011
Kdm2a,-3.1615176,0.001572727197778575
Lef1,-5.028505,5.002251508770509e-07
Meox1,-2.2806983,0.022580757392071545
Mybl1,-2.1724553,0.02983749221496316
Mybl2,-3.3208888,0.0008995302654283042
Myc,-7.0199723,2.31775614767327e-12
Nanog,-4.6349363,3.6016103563143808e-06
Nfe2l1,-2.8123991,0.0049239562319109784
Nfya,-2.4815755,0.013091550671231623
Nkx6-1,-2.059468,0.03946724922862003
Nsd2,-2.3055103,0.02115206563150794
Olig2,-2.0315633,0.04221609755483512
Phox2a,-2.0117593,0.04426379461804967
Pitx1,-2.6386173,0.008333392028737407
Pou2f1,-3.1027434,0.0019210455593663392
Pou5f1,-3.227198,0.0012528684364264638
Ppargc1a,-2.8326268,0.004623095690559666
Rxrg,-2.6935446,0.00707780631496309
Snai2,-4.2259398,2.39402061146404e-05
Sox2,-2.120642,0.033968884833108726
Sox5,-2.1077325,0.0350712618150539
Srsf2,-2.8829734,0.003945201020782238
Tbp,-2.9274344,0.003423025424283089
Tbx6,-2.140163,0.03235824789920177
Tcf4,-2.2141461,0.026834234823775865
Tcf7l2,-2.7010217,0.0069207204303944215
Tead4,-2.245971,0.024720872582589946
Tfdp1,-2.6970565,0.0070036299384271675
Tfdp2,-2.7255955,0.006426270103562319
Trp73,-2.5645373,0.010341330539920425
Ubtf,-2.1805553,0.02923235155055266
Zbtb18,-3.219828,0.001285502963923755
Zfp143,-3.4487092,0.000564874504016543
Zfp202,-2.7228334,0.0064802145213938315
