,logFC,pval
AP1,4.012033,6.0500474732511494e-05
Ar,2.9641638,0.003040005626259742
Atf3,4.011998,6.0509388554398115e-05
Atf6,2.9028373,0.003703563820375274
Bhlha15,3.943404,8.071115678815053e-05
Cdx1,2.4875014,0.012875553689897807
Cdx2,2.9166598,0.003543442195403673
Cebpa,2.6841545,0.007279615637055114
Cebpb,3.5539572,0.00038068813851398117
Cebpg,2.3132882,0.020720727662806953
Creb1,2.2767134,0.02281786273101867
Creb3,2.2830043,0.022444530658971493
Crx,2.52035,0.011734471660925344
Dbp,2.4218304,0.015454746386387714
Dnmt3a,2.0452943,0.04084387607396338
Egr1,4.7485895,2.068013403585704e-06
Elf3,5.036647,4.794537871227809e-07
Elf5,3.2270193,0.0012536500452598497
Elk3,3.3514342,0.000805996553683009
Epas1,2.0178955,0.04362054474612831
Esr2,3.3691258,0.0007560357129694561
Ets1,2.2630405,0.0236479235770739
Ets2,2.690661,0.007139240150858065
Etv3,2.0446236,0.04091001117806065
Fezf1,2.640592,0.008285003346810468
Fgf2,5.7368226,9.839636513227548e-09
Foxa1,2.2404068,0.025079621379252615
Foxa2,4.6118417,4.0253123196038436e-06
Foxc2,3.0342655,0.002415494170020976
Foxh1,2.203745,0.027557960375223862
Foxi1,2.4213293,0.015476062748435292
Foxo1,3.443766,0.000575294248392168
Foxo3,5.3749127,7.78059880622431e-08
Gata3,2.6958606,0.007028810415553742
Gata4,2.86272,0.004206237485946418
Gata6,5.2106886,1.9072214685831506e-07
Grhl2,2.697069,0.007003369321669008
Hand2,3.4820168,0.0004991191586785507
Hbp1,3.3391337,0.0008425202473633822
Hesx1,2.7586472,0.005811395684394887
Hif1a,4.256862,2.086208105781525e-05
Hnf1a,6.70486,2.0905814672693976e-11
Hnf1b,5.398233,6.836013072521688e-08
Hnf4a,2.5226781,0.011657110383274072
Hoxa11,2.3196805,0.020371996728266232
Hoxb13,4.0818815,4.4912170690134274e-05
Hoxb2,5.057128,4.3081617029707406e-07
Hsf1,2.1709883,0.029948233035293904
Htatip2,2.245537,0.0247486886834689
Id3,2.150061,0.03156689605764817
Ikzf1,2.1980555,0.027960909520682333
Irf8,2.509448,0.01210281883988174
Jdp2,2.8587656,0.004258996307392068
Kat6a,2.9963171,0.0027372455932492953
Klf6,2.166417,0.030295592961452098
Lhx1,3.1569633,0.0015974813556543608
Litaf,2.8491254,0.004390138040589293
Lmo2,3.296516,0.000981274432780178
Maz,2.6407845,0.008280302378869446
Mef2c,4.0444474,5.271829844983513e-05
Mkx,3.0193906,0.0025372462611640252
Mlxip,2.1334414,0.032905278361384835
Msc,3.033659,0.0024203522208672557
Mta3,2.2393491,0.025148318481033435
Myf5,3.2239103,0.0012673301230667212
Nfil3,2.867613,0.004141776377811236
Nhlh1,2.1043563,0.03536455929722028
Nr1i2,2.4543798,0.01412446030105835
Nr1i3,3.1733513,0.0015100487778087809
Nr2e1,2.2267034,0.0259824122750512
Nr2f1,4.034649,5.496461801162283e-05
Onecut1,4.204683,2.6301830974746263e-05
Pax3,2.3572352,0.01842480522528261
Pgr,2.4715707,0.013463500514312996
Pitx2,2.8640401,0.004188757152766914
Pitx3,2.0457025,0.040803670429590655
Pou4f3,2.0689163,0.03857163116336516
Ppara,3.2395153,0.0012000295394122475
Prdm4,3.166862,0.0015441291140939487
Preb,2.0167344,0.04374165228719588
Prrx1,2.967003,0.003012089507116141
Pura,3.3117743,0.0009293308310721918
Rarg,3.3143353,0.0009208660324093906
Rb1,5.011739,5.457658595349873e-07
Rest,2.0425441,0.04111564718562983
Rfx1,3.0227928,0.0025089138373942774
Sall4,2.038066,0.041561463549394585
Satb1,2.4680412,0.013596930908144289
Smad1,2.8827393,0.003948132565293441
Smad2,2.9385962,0.0033022208979301662
Smad6,3.0069644,0.0026432304400130246
Smad9,2.4741066,0.013368352508950757
Sox7,5.172797,2.336905715865025e-07
Sp1,4.3059688,1.6734970215307992e-05
Sp3,3.6958017,0.00022000150301149327
Spi1,3.0860643,0.0020320735771741237
Stat5a,2.0451882,0.040854332219732364
Tfap4,3.4590437,0.0005436555830666758
Tfe3,3.405062,0.0006632842482676028
Tgif1,2.0397468,0.041393653546088746
Trp53,4.0258427,5.706055971227053e-05
Ttf1,3.0751252,0.0021080579840316587
Usf2,2.189494,0.02857685378127995
Vdr,4.38572,1.1641826827755494e-05
Vhl,3.065207,0.0021791945186952245
Zbtb16,3.18039,0.0014738679687092407
Zfhx3,2.42875,0.015163055359536015
Zfp354c,2.8271496,0.004702873370627723
Zic2,3.4552734,0.000551309363461709
