,logFC,pval
Abl1,-2.1962311,0.028090263605385215
Ahr,-2.159764,0.030806328498886804
Apex1,-2.1792758,0.02932629607480656
Arid1a,-3.1593163,0.00158445657580781
Arid3a,-3.008005,0.0026339378930958332
Arid4b,-4.4980574,6.907873156549789e-06
Creb5,-3.1816392,0.001467348488884939
Ctcf,-2.1276798,0.03337948372744758
Dmap1,-4.9887056,6.144783973588328e-07
E2f4,-4.767362,1.8836102306142023e-06
Esrrb,-4.5609426,5.131731713292624e-06
Grhl2,-4.0975976,4.1959836212975284e-05
Hdac5,-5.159664,2.504668316246065e-07
Hdac7,-2.4015782,0.016336297998444663
Hey1,-4.920556,8.719067608895073e-07
Hipk2,-3.2041304,0.0013574710674863744
Hmgb2,-2.8887138,0.0038736030622528155
Hsf4,-2.1257057,0.033543643140835105
Ing4,-2.4271994,0.015227286131489628
Kat2b,-2.4276662,0.01520771019129813
Mecp2,-2.502985,0.012325352844580013
Meis2,-4.127657,3.6840829176501806e-05
Meox1,-3.0313506,0.002438670124422038
Meox2,-2.8266585,0.004709708836614566
Mybl2,-2.302486,0.02132105675041222
Myc,-3.1388435,0.0016993633149417042
Myt1,-2.4456003,0.01447224325170214
Nanog,-3.4070954,0.000658261137319558
Neurod6,-2.90916,0.0036291989776012744
Nfe2l1,-2.485866,0.012934185498618406
Nkrf,-2.8261945,0.004716532725554513
Nkx6-1,-2.1069062,0.0351418479511787
Npm1,-2.0161886,0.04379759063502394
Nr3c1,-2.4468486,0.014422236479305737
Nr5a2,-2.147743,0.031749739186557026
Pawr,-2.32878,0.019883603109036457
Pitx1,-2.474842,0.013340198368039785
Pou5f1,-4.919794,8.753025487133314e-07
Pparg,-3.933195,8.419170674336959e-05
Ppargc1a,-2.9616992,0.0030641360223185926
Prdm2,-2.286236,0.02225397147603286
Rxrg,-2.3870022,0.01699838542746297
Sall3,-4.26674,1.9953543357364348e-05
Sox2,-3.4642005,0.0005332571657718968
Sp2,-2.83374,0.004606658571530348
Spdef,-2.6007178,0.00931178750174482
Srebf1,-2.3126943,0.020752571363284268
Srebf2,-2.820458,0.0048016482325443635
Thap11,-2.2462726,0.02470067297055999
Trerf1,-2.86974,0.004113687348491749
Trp73,-2.0073426,0.0447306437601337
Wwtr1,-2.648543,0.008092205512259795
Yap1,-4.0282,5.647527943569258e-05
Ybx3,-2.0137222,0.04405607559655184
Zbtb18,-4.248238,2.1672459610063795e-05
Zfp143,-3.6881645,0.00022665473675830152
Zfp263,-2.1057787,0.035239730718206526
Zfp382,-4.051551,5.1128907145474145e-05
