,logFC,pval
AP1,4.9778595,6.498628891512243e-07
Aire,2.0933685,0.036332590323307115
Ar,4.119214,3.821533947603872e-05
Arid5b,2.7878675,0.005312128852619676
Ascl2,2.5700233,0.01017848629437522
Atf1,2.091148,0.03653115926759942
Atf3,2.897674,0.0037647117675965315
Barx1,3.6357431,0.0002780841242350001
Batf,2.2080297,0.027256885288836984
Cdx1,2.0265126,0.04272948492412888
Cebpb,4.498489,6.893887137503835e-06
Cebpg,2.4459956,0.014456391891347021
Crx,3.5022116,0.0004627208615451031
Ctbp1,3.2598882,0.001116981677551106
Ctbp2,2.6965232,0.007014373571613868
Cux1,6.0920467,1.1412934527880623e-09
Dbp,2.360424,0.018266454151635157
Dlx3,4.668144,3.064961979423912e-06
Dnmt1,2.9077039,0.0036461284402212464
Dnmt3b,2.8454049,0.004441356085308529
Ebf1,2.450748,0.014267017076666359
Egr1,4.1640224,3.143919782005736e-05
Elf2,3.2490437,0.0011604204557356705
Elf3,4.1447043,3.4207262042095284e-05
Epas1,4.140036,3.491008439909412e-05
Erg,5.7026763,1.2010605160105512e-08
Esr1,4.6713324,3.017831192143882e-06
Esr2,2.7163875,0.0066072325219323404
Ets1,6.236524,4.5908097192441373e-10
Ets2,5.8766136,4.273936237216969e-09
Etv1,2.6633258,0.007745297585339317
Etv2,6.824439,9.15645175078994e-12
Etv4,3.8708572,0.0001089009753672071
Etv5,3.6475823,0.00026559321263475096
Etv6,2.5329313,0.011321155514259648
Ewsr1,2.3494892,0.018811752074299106
Fezf1,2.4674015,0.013620563320879343
Fgf2,2.7589114,0.0058062747730232445
Fli1,3.5776527,0.0003477578364458114
Foxc1,5.069294,4.0392601000601973e-07
Foxc2,3.837872,0.00012460112174888605
Foxh1,2.4349833,0.014903757064154406
Foxn1,2.9635313,0.003045965827676293
Foxo1,2.2875,0.022180160482339055
Foxo3,4.042706,5.3094965887706985e-05
Gata1,2.1424809,0.03217044370620177
Gata2,3.0548708,0.002255424259014315
Gata3,3.5516396,0.00038398234380168205
Gata4,6.3521514,2.1828518526101964e-10
Gata6,3.5163074,0.0004388531258523099
Gcm1,3.3339834,0.0008581379457025749
Gfi1,2.3899524,0.016862508350635224
Gli1,4.2094007,2.5750199306411546e-05
Gli2,3.0478132,0.0023090398698985617
Gsc,2.136168,0.0326814476803515
Gtf3a,2.2693875,0.02325854461772823
Hand2,4.5354958,5.790221368010997e-06
Hbp1,3.3771522,0.0007342180485018777
Hdgf,2.8832133,0.003941859293750004
Hes1,2.5435512,0.010982889996454824
Hesx1,3.5322258,0.0004132830521328065
Hhex,2.2658494,0.02347443360579205
Hic1,3.006356,0.0026482560075115117
Hif1a,6.4782934,9.558122728622649e-11
Hmga2,2.3978522,0.016503352832212565
Hoxa13,2.2010238,0.027749126562603425
Hoxa9,3.3812618,0.0007233316789169233
Hoxb2,4.0180755,5.895437968978668e-05
Hoxb5,3.8560667,0.00011569486586458555
Hoxc6,3.3443904,0.0008266047550352046
Hoxd13,3.2128487,0.0013169598364654758
Hoxd3,2.5937674,0.009502056812543971
Hsf1,2.2518003,0.024348930372210843
Id1,3.0499337,0.002292809487292833
Irf3,2.0783331,0.03769521121127952
Irf8,2.9702811,0.0029798643361766434
Jdp2,3.1762729,0.001494748703983525
Kat6a,3.2070248,0.0013438958527786427
Klf10,2.1679828,0.030175264159094155
Kmt2a,2.3913012,0.01680070788993818
Lhx8,2.6776538,0.007421845112989825
Lmo2,5.6452956,1.678073534812582e-08
Lmx1b,2.4140754,0.015786789095425312
Lyl1,2.806089,0.005020980365246787
Maz,2.8748255,0.0040480479871527605
Mecom,2.3338215,0.019617868725022337
Mef2a,4.695143,2.6871772380645e-06
Mef2c,7.009633,2.48869855023314e-12
Mef2d,2.7649558,0.005699827856389189
Mkx,6.794843,1.1240843117994673e-11
Msx1,2.0611415,0.0393062982115442
Mta1,4.1014786,4.126287377829389e-05
Myb,3.716985,0.0002023286451437159
Myf5,2.6648793,0.007709626241344608
Myod1,4.049791,5.15145420525309e-05
Myog,4.681761,2.868474259975288e-06
NFKB,3.8221922,0.00013279105725725243
Ncoa2,3.1943169,0.001404445366876747
Ncor1,2.9181552,0.003526184590925077
Ncor2,2.923515,0.003466075245944207
Nfatc1,2.2155728,0.026735345458869603
Nfic,2.2712958,0.023142821465447175
Nfil3,2.8125358,0.004921477502930988
Nfix,2.2164006,0.026678639197549526
Nkx2-5,4.7240796,2.3320126129386144e-06
Notch1,4.5955215,4.350963271652077e-06
Nr0b1,2.5309415,0.011385555382727416
Nr2e1,2.8223147,0.004773947327227954
Nr2f1,3.0538323,0.002263241666206827
