names,names,stat,log2FoldChange,pvals,padj,p_log10
Col14a1,Col14a1,37.500465,5.113922,9.051557012665554e-308,3.954715774403707e-303,302.4028847238082
Slit1,Slit1,34.121017,3.5353138,3.599312039936318e-255,5.241918077895256e-251,250.2805097706073
Zic1,Zic1,33.469852,3.757219,1.323723315862494e-245,1.4458698848337056e-241,240.83987078784457
Zic5,Zic5,32.366566,2.8776011,8.112614415571192e-230,7.08896472861442e-226,225.14941718448958
Glis3,Glis3,32.0541,4.4699335,1.9248278631978435e-225,1.401627569516283e-221,220.85336736867382
Zic2,Zic2,31.714834,2.3285625,9.702736659263981e-221,6.056032391141466e-217,216.21781181064532
Cdon,Cdon,31.660992,2.6679592,5.352959202003162e-220,2.923451756184002e-216,215.53410406864592
Slit2,Slit2,30.442133,2.8198102,1.5224784034814807e-203,7.390955991834374e-200,199.13129938364494
Dach1,Dach1,28.273268,2.2642937,7.368434054813222e-176,3.219342522888445e-172,171.4922328139678
Col4a5,Col4a5,28.12721,3.1506636,4.554044323008154e-174,1.6580895876379106e-170,169.78039200794396
Msx1,Msx1,27.264742,3.3555148,1.1113565471156574e-163,3.735098376925399e-160,159.42769795502846
Plagl1,Plagl1,27.250597,2.0324168,1.6349854982836305e-163,5.102439386107865e-160,159.29222214573687
Unc5c,Unc5c,26.877064,3.196812,4.072699810878995e-159,1.1862688495807611e-155,154.92581687365518
Lmx1a,Lmx1a,25.786232,5.986556,1.265439297314819e-146,2.7644154169490877e-143,142.55839669366674
Nr4a3,Nr4a3,24.934156,5.468636,3.172210880203662e-137,5.774877731957424e-134,133.23845720639656
Rfx4,Rfx4,24.457811,2.4847496,4.15597058202041e-132,6.72513002589088e-129,128.17229931445107
Gdf10,Gdf10,23.22611,3.638649,2.480852538522751e-119,3.3872165081436724e-116,115.4701570427156
Col4a6,Col4a6,22.834946,3.3087475,2.062520900522635e-115,2.650400019551013e-112,111.57668857392247
Igfbpl1,Igfbpl1,22.478363,2.4320443,6.758507546564189e-112,7.980701438295566e-109,108.09795893604357
Aldh1a2,Aldh1a2,22.212671,3.1942084,2.590692553505775e-109,2.97868285145318e-106,105.52597573485012
Ntrk2,Ntrk2,21.386997,3.4405034,1.7656504585467323e-101,1.7532507769173928e-98,97.75615595998038
Fabp7,Fabp7,20.150936,2.415586,2.6407754305186543e-90,2.4548536028678833e-87,86.60997440226298
Cdh6,Cdh6,19.460629,2.4218524,2.3686386720046996e-84,1.9526074003501382e-81,80.7093850690529
Adamts3,Adamts3,19.359663,4.0761,1.6898462542398547e-83,1.3672420869258054e-80,79.86415458147638
Wnt1,Wnt1,19.29792,5.893397,5.591578846906651e-83,4.4418485709127e-80,79.35243625126661
Amer2,Amer2,18.31405,2.184673,6.393230608840301e-75,4.3644787270444e-72,71.36006761896572
Ngfr,Ngfr,17.572332,2.8534346,4.0132513476816406e-69,2.401958419610391e-66,65.61943451495561
Npr3,Npr3,17.211037,4.0420275,2.194659787677592e-66,1.2616694839923905e-63,62.8990544010968
Klhl29,Klhl29,16.709806,3.002792,1.1119547460173212e-62,5.924684732712534e-60,59.22733475459821
Zcchc18,Zcchc18,16.486433,2.776995,4.5927108665118216e-61,2.3888110770091428e-58,57.62181819577411
Cacna1g,Cacna1g,15.87908,2.3122463,8.846642796513012e-57,4.2946518935827775e-54,53.367072032490015
Mafb,Mafb,15.854962,3.0581162,1.2990595622281622e-56,6.169262101446808e-54,53.20976677833861
Gdf6,Gdf6,15.53146,5.365484,2.124861532941042e-54,9.772350024813376e-52,51.010000985914466
Ism1,Ism1,15.015768,3.2397265,5.788764803321839e-51,2.4087326002088997e-48,47.61821140950745
Unc5a,Unc5a,14.779277,3.2007568,1.9929492452053717e-49,8.214523157761122e-47,46.08541764171932
Tmem132b,Tmem132b,14.572486,3.2483962,4.20313995445599e-48,1.6396373906262203e-45,44.78525218650247
Gm48898,Gm48898,14.034563,6.2510605,9.578492968268265e-45,3.34795149021287e-42,41.47522084329691
Zic4,Zic4,13.957935,4.1956024,2.8146955707710297e-44,9.683217652169847e-42,41.01398030628843
Casz1,Casz1,13.784363,2.794415,3.1654729127574483e-43,1.0721137754363231e-40,39.96975912376432
Trabd2b,Trabd2b,13.781572,2.7866719,3.2902824649560274e-43,1.1058133167414906e-40,39.956318184380535
Adgrb3,Adgrb3,13.765437,2.339383,4.113892303903351e-43,1.3720615927468802e-40,39.86262639242687
Hoxb5,Hoxb5,13.183141,2.0593646,1.0972638634609612e-39,3.2835996889364967e-37,36.48364979414787
Bmp6,Bmp6,12.990765,4.5819387,1.3804166146786104e-38,3.9678804152581036e-36,35.401441425171114
Npas3,Npas3,12.959742,2.4815798,2.0694404486206112e-38,5.909537427495629e-36,35.22844651244335
Rspo1,Rspo1,12.807524,3.0720425,1.4880720368507545e-37,4.038220829940765e-35,34.393809935367024
Gm5089-1,Gm5089-1,11.9608345,5.2847695,5.6986562460088055e-33,1.3035601573003702e-30,29.88486892200946
Cacng4,Cacng4,11.863054,2.3635538,1.841340817127446e-32,4.1045929408732265e-30,29.386729906095876
Abca1,Abca1,11.758016,2.1404488,6.422587452594984e-32,1.3960660118971513e-29,28.855094045950054
Gm7694,Gm7694,11.223285,2.431205,3.134101003992549e-29,6.032247002882751e-27,26.21952088368458
Olig3,Olig3,11.162743,3.837873,6.204746037251027e-29,1.1786589526675419e-26,25.92861184070743
Plxnc1,Plxnc1,11.013787,2.0266075,3.2792354738708473e-28,6.019877188608874e-26,25.220412368684624
Wnt4,Wnt4,10.907647,2.060582,1.0596297154149155e-27,1.897388602302995e-25,24.721843712573605
En1,En1,10.745948,3.1888812,6.192229626142701e-27,1.0609596258658852e-24,23.974301142580547
Sema3c,Sema3c,10.72682,2.6137252,7.617283282147696e-27,1.2949677971996692e-24,23.88774103132974
Cux2,Cux2,10.587101,2.3048315,3.4201886688110915e-26,5.596684012323049e-24,23.252069212581997
Wnt3a,Wnt3a,10.359139,2.005598,3.8037013514344574e-25,5.851673089631087e-23,22.232719944223938
Nell2,Nell2,9.956166,2.2606218,2.370265109366821e-23,3.3298795142554914e-21,20.47757148037976
Lsamp,Lsamp,9.948038,2.1381257,2.5720439240170154e-23,3.590261057004071e-21,20.44487397161825
Dtna,Dtna,9.738568,2.7424824,2.064414105890848e-22,2.724964250769699e-20,19.564639190926897
Msx3,Msx3,9.731012,2.304142,2.2236978998487204e-22,2.926373040430435e-20,19.53367031284026
Psd2,Psd2,9.657409,2.6805477,4.57285378655197e-22,5.91102233101308e-20,19.22833739994439
Lrrc4,Lrrc4,9.60444,2.1762605,7.657311733087627e-22,9.811014865992127e-20,19.008286066228255
Msrb3,Msrb3,9.311852,2.2075908,1.2562191801724029e-20,1.4914530489378384e-18,17.826390413712016
Cp,Cp,8.961122,4.228645,3.2139323761847233e-19,3.496315054259721e-17,16.45638943983581
Olfml3,Olfml3,8.932445,2.6127183,4.1669627594104064e-19,4.4731884501572493e-17,16.349382805127274
Kcnn3,Kcnn3,8.851826,2.6441634,8.609899559449854e-19,9.064460762696953e-17,16.042658026620963
Sh3rf3,Sh3rf3,8.457474,3.2259967,2.73231679641263e-17,2.676628994440902e-15,14.572411821877434
Bmpr1b,Bmpr1b,8.174884,2.3822803,2.9615104716028277e-16,2.7588774843240756e-14,13.559267585154524
Naaladl2,Naaladl2,7.909959,4.514476,2.5747448442185903e-15,2.2543722843437763e-13,12.646974363495964
Scrn1,Scrn1,7.9041433,2.3816245,2.6978254758635853e-15,2.3527084404382415e-13,12.628431889464165
Wnt9a,Wnt9a,7.76342,3.4733477,8.266917933501951e-15,6.906116853396438e-13,12.160766077542325
Thbs2,Thbs2,7.2589703,2.6827142,3.9004834198399826e-13,2.8786490050038628e-11,10.540811285619615
Fcgrt,Fcgrt,7.196447,3.1364315,6.180191682797282e-13,4.448414412077365e-11,10.351794760883083
Nos1ap,Nos1ap,6.9577127,2.4924283,3.4584137322753166e-12,2.2653906203424415e-10,9.644856901981147
Gabrg1,Gabrg1,6.814728,5.722562,9.44422842669053e-12,5.980112814355593e-10,9.223290623003233
Cyp46a1,Cyp46a1,6.646171,3.2391183,3.0081601485642605e-11,1.802874143359686e-09,8.744034589834554
Bnc2,Bnc2,6.6248136,2.1824608,3.476868031777075e-11,2.0695891168443075e-09,8.684115868069485
Slc25a53,Slc25a53,6.549951,2.0606315,5.755595452569614e-11,3.3439856505082314e-09,8.475735594845002
Fam189a1,Fam189a1,6.4583087,2.9602618,1.0587966612383319e-10,6.031275740047452e-09,8.219590815842832
Kcng1,Kcng1,6.3811984,2.0626674,1.7570729122036565e-10,9.759194350904664e-09,8.010586033091322
Msx2,Msx2,6.379577,2.5105042,1.7757771096861074e-10,9.808530682591115e-09,8.008396045039559
Cntn3,Cntn3,6.3678336,3.123026,1.9171691097605275e-10,1.0530906776563858e-08,7.977534231748716
Rfx2,Rfx2,6.0724077,2.1659935,1.2600643064213948e-09,6.270326835063459e-08,7.202709821375795
Stum,Stum,5.973538,2.635412,2.3216265386762127e-09,1.1171165760055332e-07,6.951901503988966
Adamtsl1,Adamtsl1,5.903898,2.4812703,3.550122006191998e-09,1.6750365072627926e-07,6.775975723116687
Tmem163,Tmem163,5.5942435,2.9084013,2.2158603079869062e-08,9.36297415050831e-07,6.028586175622491
Ube2ql1,Ube2ql1,5.580605,2.3424363,2.39683126051323e-08,1.0069226404142648e-06,5.997003894026083
5330434G04Rik,5330434G04Rik,5.5299053,2.0431802,3.2040364590201835e-08,1.3181502535880492e-06,5.880035082469684
Grid2,Grid2,5.3823056,3.8860178,7.353782774635796e-08,2.8764021773197184e-06,5.541150391175298
Tmem255a,Tmem255a,5.2863374,3.524069,1.2478960337357307e-07,4.708275095850415e-06,5.3271381700598095
Zfp663,Zfp663,5.2532177,2.9574723,1.4946471425384306e-07,5.5766548509518844e-06,5.253626233931535
Chl1,Chl1,5.2253766,3.8190827,1.7380096435952193e-07,6.440659825133056e-06,5.191069638271352
4930578M01Rik,4930578M01Rik,5.1327763,2.1255927,2.8549907002899354e-07,1.0249580828789448e-05,4.989293895336631
Gdf7,Gdf7,4.9937077,6.063237,5.923102907186765e-07,2.0344834050149133e-05,4.691545848273141
Col12a1,Col12a1,4.8088436,2.258543,1.5180586918367969e-06,4.916642127875574e-05,4.308331401948835
C1qtnf3,C1qtnf3,4.7753778,3.7813067,1.7937006472866603e-06,5.756087360649262e-05,4.239872623359477
Hmx2,Hmx2,4.6638584,4.5368457,3.103348667099465e-06,9.616199050655513e-05,4.016996555563195
Pou6f2,Pou6f2,4.580493,2.6850712,4.638810716054495e-06,0.00013939083837354672,3.8557657698145382
Gm29266,Gm29266,4.5722256,4.041815,4.825713167847506e-06,0.00014441111918933245,3.840399366207815
Plau,Plau,4.566057,2.7223825,4.969834138845347e-06,0.0001483176389073033,3.8288071967492763
Cdh22,Cdh22,4.458343,2.9730043,8.259560959857357e-06,0.00023788297817872628,3.623636632983881
Gm5089,Gm5089,4.4211144,4.3812003,9.819322332181087e-06,0.0002794892586419048,3.553634878304173
St6galnac5,St6galnac5,4.37859,2.9228656,1.1944949598245763e-05,0.0003339079094741533,3.476373293433514
Sorcs1,Sorcs1,4.1054654,2.4790072,4.035012618437756e-05,0.0010149322758328384,2.9935629362861125
