names,names,stat,log2FoldChange,pvals,padj,p_log10
Igf2r,Igf2r,41.184643,2.6987696,0.0,0.0,inf
Nrp1,Nrp1,40.675964,3.7670588,0.0,0.0,inf
Has2,Has2,37.479168,3.4933834,2.0124501840245826e-307,2.9308653663406015e-303,302.53300413106626
Fbn1,Fbn1,36.00301,2.7251632,7.505932213788549e-284,8.198542108815887e-280,279.0862633683953
Tbx20,Tbx20,35.568733,4.847824,4.2656102652111646e-277,3.72737556194682e-273,272.42859684650995
Fn1,Fn1,34.851387,1.8939748,4.056377016989107e-266,2.953786137487851e-262,261.5296209520407
Hand2,Hand2,34.77581,5.2243996,5.64679305769694e-265,3.5244862211976715e-261,260.4529041829453
Rgs5,Rgs5,34.69298,4.7186537,1.0052921482982833e-263,5.490277406412537e-260,259.2604057114642
Hsd11b2,Hsd11b2,34.531494,3.1810446,2.702582532265327e-261,1.3119837046356043e-257,256.8820715590387
Adgra2,Adgra2,34.469055,3.6070673,2.333948403214441e-260,1.0197253968484215e-256,255.99151676420834
Capn6,Capn6,34.20227,3.9546287,2.2371982947124565e-256,8.885948244934722e-253,252.05129622058027
Peg10,Peg10,33.660812,1.8733423,2.166286573013349e-248,7.887268888460519e-245,244.10307335319146
Pdgfra,Pdgfra,32.19607,2.9029393,2.0031909013980456e-227,6.732416436383231e-224,223.17182902840185
Itm2a,Itm2a,32.12837,3.1117802,1.7713019494156833e-226,5.527853819422902e-223,222.25744345012325
Unc5b,Unc5b,32.122204,2.3210793,2.15969774786767e-226,6.2906236201390914e-223,222.20130629869462
Gata6,Gata6,31.599804,3.1280036,3.7150473873630575e-219,1.014463346257996e-215,214.99376363991252
Gpc3,Gpc3,30.798792,1.5992634,2.7198626603819775e-208,6.990207029102881e-205,204.1555099615554
Flna,Flna,30.71609,1.0780697,3.4709283461062296e-207,8.424907242762626e-204,203.07443487196144
Cdh11,Cdh11,30.674408,2.2527168,1.2493144204166782e-206,2.8728313864434256e-203,202.54168986307388
Pcdh7,Pcdh7,30.191343,2.4096334,3.077063461073944e-200,6.721998983889085e-197,196.17250155751537
Rbpms,Rbpms,30.143993,1.8316114,1.2858053375529693e-199,2.6751486191917514e-196,195.57265208552988
Slc38a4,Slc38a4,29.835962,2.588437,1.3352652669091501e-195,2.6517761262058036e-192,191.57646314363737
Igfbp4,Igfbp4,29.724712,1.996062,3.6816516562989645e-194,6.993697500667741e-191,190.1552931562178
Nhsl2,Nhsl2,29.617453,2.368064,8.907463118733008e-193,1.6215665463356828e-189,188.7900652239177
Runx1t1,Runx1t1,29.330645,3.693425,4.219177812374845e-189,7.373603912018773e-186,185.1323201951059
