,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,p_log10
13226,Tbx5,94.83420978726282,2.0018695913151467,0.1696850890158883,11.797557480891578,4.018054100312571e-32,1.4911057841049088e-31,30.826491545129585
14221,Uba7,38.51114697382563,2.004541495884314,0.218524265929124,9.173084221843194,4.596750593106432e-20,1.2787022381582612e-19,18.893230574661363
11866,Sema3a,2838.554053279311,2.00519080348799,0.0999066645025612,20.07064106755946,1.3327442688492049e-89,1.1502389858447984e-88,87.93921191664585
4544,Fam78a,65.36847401995716,2.0079806264163125,0.1682342568848883,11.935622765524156,7.717908745544912e-33,2.8983570964671955e-32,31.537848107660196
4855,Frem1,3965.222239414883,2.0133353505748484,0.0632624642646996,31.825117373720225,2.9090036509633484e-222,7.0093785937218585e-221,220.15432048207327
5561,Gm19689,38.99455018921666,2.0137659851881016,0.2498223281474734,8.0607926446004,7.580131428354656e-16,1.8558003434946193e-15,14.731468749228544
2441,Cdc42ep2,23.16018750204786,2.01609855166205,0.2591127568308057,7.780776895436735,7.208051524544709e-15,1.7100519156150213e-14,13.766990704623709
15083,Zfp516,7365.02904744291,2.016511749108695,0.0365037882246146,55.241163922514595,0.0,0.0,inf
7111,Ikbke,171.44197635484056,2.01654145816546,0.1084268051494938,18.59818202136591,3.3239015341169127e-77,2.4855809577852408e-76,75.60457208690164
5925,Gm37359,32.80498993116233,2.0183937676861836,0.2325249745907532,8.680331096642764,3.94618349830036e-18,1.039154905478547e-17,16.983319707899962
12821,Sspn,26.582481484122813,2.02332695938996,0.2704284832056577,7.481929918792035,7.323900150392212e-14,1.6850880247398217e-13,12.773377407753904
3884,Dusp2,71.57638277293108,2.02369244859504,0.2201356064644312,9.192935577743624,3.822639622790798e-20,1.0654812141946038e-19,18.972454203053054
3177,Crym,52.19406254524975,2.0253094693785094,0.1875810094424005,10.796985661815674,3.556894819735578e-27,1.1877143686720602e-26,25.92528798951008
5187,Glt8d2,38.55759421840261,2.0313808750600604,0.2276773532291653,8.922191189632303,4.571521679575145e-19,1.2363906429021345e-18,17.90784429036977
12112,Sla,27.312687428235893,2.0319397611501677,0.3000998747783852,6.770878403900349,1.2800282451910427e-11,2.7124408052857815e-11,10.566639730827564
7620,Klhdc8a,26.097309660557276,2.038518601572212,0.263124453296817,7.747355200288681,9.382622911139912e-15,2.2174097461676322e-14,13.65415404795128
4195,Emx2os,445.50965720210326,2.039817028830207,0.0721138434173119,28.286067309241748,5.128266976514954e-176,9.422425613054979e-175,174.02583728247663
11392,Ripor2,116.91536807342229,2.048113887275368,0.145080018952357,14.1171327524292,2.9786608528116675e-45,1.4282915338131812e-44,43.84518313807532
8395,Mesp2,30.102847706882855,2.051430158801241,0.2839274301595248,7.225191865571577,5.003948461898728e-13,1.1185510230524789e-12,11.951344200637768
7470,Kcnk3,63.61247165565064,2.0535484241610016,0.1918484616116948,10.704012984568129,9.746374094155108e-27,3.219586396217683e-26,25.492199916309655
13785,Tns1,3569.185535039384,2.054316679369293,0.0499420688552473,41.13399237271381,0.0,0.0,inf
730,Acr,41.141327813795435,2.055499377562722,0.2244298588050472,9.15876073044384,5.249669910831195e-20,1.458483717377624e-19,18.83609841501158
