index,ect1_ct,ect2_ct,ect3_ct,mes1_ct,mes2_ct,mes3_ct,pluri1_ct,pluri2_ct,endo1_ct
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_341,,,,,,Endothelium,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_310,Neural Progenitors,Neural Progenitors,Neural Progenitors,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_302,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_5,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_184,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_186,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_44,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_74,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_375,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_372,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_345,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_64,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_312,,,,,Pharyngeal Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_205,,,,,,,Reprogramming PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_34,,,,,,,Reprogramming PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_206,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_368,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_284,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_41,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_335,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_374,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_298,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_147,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_135,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_299,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_12,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_269,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_134,,,,,,,PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_71,,,,,Pharyngeal Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_47,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_2,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_33,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_101,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_318,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_151,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_149,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_240,,,,,,,Reprogramming PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_351,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_46,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_333,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_37,,,,,Pharyngeal Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_120,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_24,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_94,,,,,,,,Epidermis Progenitors,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_204,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_156,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_279,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_15,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_54,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_203,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_352,,,,,,Endothelium,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_278,,,,,Pharyngeal Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_16,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_223,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_82,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_381,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_283,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_252,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_217,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_373,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_132,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_357,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_26,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_215,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_378,,,,,,Endothelium,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_57,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_131,Floor Plate Neural Tube,,Floor Plate Neural Tube,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_276,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_142,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_143,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_50,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_371,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_133,,,,Nascent Mesoderm,,Nascent Mesoderm,,,Nascent Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_17,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_194,,,,,,,Naive PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_243,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_36,,,,,,Endothelium,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_336,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_321,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_358,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_118,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_227,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_330,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_315,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_365,,Roof Plate Neural Tube,,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_192,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_104,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_177,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_314,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_363,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_179,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_39,,,,Nascent Mesoderm,,Nascent Mesoderm,,,Nascent Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_171,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_210,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_305,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_356,,,,,,,PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_19,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_308,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_216,,,,Cardiac Mesoderm,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_188,,,,,,,Reprogramming PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_40,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_208,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_251,,,,,,,Reprogramming PGCs,,
